1	-1.414733e+05	0.000000e+00	-1.414733e+05
2	-1.833106e+05	7.729903e-16	-1.833106e+05
3	-1.875190e+05	8.728457e-16	-1.875190e+05
4	-2.124145e+05	1.111466e-15	-2.124145e+05
5	-2.287320e+05	1.294374e-15	-2.287320e+05
6	-2.413052e+05	1.436415e-15	-2.413052e+05
7	-2.491172e+05	1.538460e-15	-2.491172e+05
8	-2.537100e+05	1.598240e-15	-2.537100e+05
9	-2.565887e+05	1.638120e-15	-2.565887e+05
10	-2.593903e+05	1.665754e-15	-2.593903e+05
11	-2.627923e+05	1.693149e-15	-2.627923e+05
12	-2.673254e+05	1.734477e-15	-2.673254e+05
13	-2.707854e+05	1.774681e-15	-2.707854e+05
14	-2.734065e+05	1.802460e-15	-2.734065e+05
15	-2.759216e+05	1.829269e-15	-2.759216e+05
16	-2.768764e+05	1.847063e-15	-2.768764e+05
17	-2.773346e+05	1.852027e-15	-2.773346e+05
18	-2.779859e+05	1.857797e-15	-2.779859e+05
19	-2.788526e+05	1.865251e-15	-2.788526e+05
20	-2.800212e+05	1.875410e-15	-2.800212e+05
21	-2.811675e+05	1.887888e-15	-2.811675e+05
22	-2.816670e+05	1.896526e-15	-2.816670e+05
23	-2.816069e+05	1.897942e-15	-2.816069e+05
24	-2.819789e+05	1.898485e-15	-2.819789e+05
25	-2.829926e+05	1.905891e-15	-2.829926e+05
26	-2.841522e+05	1.917358e-15	-2.841522e+05
27	-2.849036e+05	1.927837e-15	-2.849036e+05
28	-2.848068e+05	1.931352e-15	-2.848068e+05
29	-2.844353e+05	1.928051e-15	-2.844353e+05
30	-2.844230e+05	1.925911e-15	-2.844230e+05
31	-2.851121e+05	1.929143e-15	-2.851121e+05
32	-2.862546e+05	1.939269e-15	-2.862546e+05
33	-2.870155e+05	1.949771e-15	-2.870155e+05
34	-2.870384e+05	1.953696e-15	-2.870384e+05
35	-2.866839e+05	1.951454e-15	-2.866839e+05
36	-2.864860e+05	1.948445e-15	-2.864860e+05
37	-2.866658e+05	1.948653e-15	-2.866658e+05
38	-2.871349e+05	1.952010e-15	-2.871349e+05
39	-2.879302e+05	1.958759e-15	-2.879302e+05
40	-2.887332e+05	1.967116e-15	-2.887332e+05
41	-2.893425e+05	1.974446e-15	-2.893425e+05
42	-2.896545e+05	1.979271e-15	-2.896545e+05
43	-2.897847e+05	1.981260e-15	-2.897847e+05
44	-2.900153e+05	1.983020e-15	-2.900153e+05
45	-2.904772e+05	1.986722e-15	-2.904772e+05
46	-2.909089e+05	1.991647e-15	-2.909089e+05
47	-2.911845e+05	1.995275e-15	-2.911845e+05
48	-2.915540e+05	1.998050e-15	-2.915540e+05
49	-2.921872e+05	2.003316e-15	-2.921872e+05
50	-2.927764e+05	2.009900e-15	-2.927764e+05
51	-2.932275e+05	2.014971e-15	-2.932275e+05
52	-2.936946e+05	2.019537e-15	-2.936946e+05
53	-2.941297e+05	2.024221e-15	-2.941297e+05
54	-2.942400e+05	2.028021e-15	-2.942400e+05
55	-2.936873e+05	2.025387e-15	-2.936873e+05
56	-2.930402e+05	2.018940e-15	-2.930402e+05
57	-2.927268e+05	2.013716e-15	-2.927268e+05
58	-2.931227e+05	2.013838e-15	-2.931227e+05
59	-2.941934e+05	2.021615e-15	-2.941934e+05
60	-2.953509e+05	2.033551e-15	-2.953509e+05
61	-2.960752e+05	2.043207e-15	-2.960752e+05
62	-2.962960e+05	2.047906e-15	-2.962960e+05
63	-2.961507e+05	2.048234e-15	-2.961507e+05
64	-2.957317e+05	2.045609e-15	-2.957317e+05
65	-2.951897e+05	2.040514e-15	-2.951897e+05
66	-2.949881e+05	2.036383e-15	-2.949881e+05
67	-2.954513e+05	2.037480e-15	-2.954513e+05
68	-2.966799e+05	2.046208e-15	-2.966799e+05
69	-2.981008e+05	2.060557e-15	-2.981008e+05
70	-2.989478e+05	2.072474e-15	-2.989478e+05
71	-2.993211e+05	2.078085e-15	-2.993211e+05
72	-2.994000e+05	2.080731e-15	-2.994000e+05
73	-2.989388e+05	2.078810e-15	-2.989388e+05
74	-2.984038e+05	2.072957e-15	-2.984038e+05
75	-2.983515e+05	2.069926e-15	-2.983515e+05
76	-2.985787e+05	2.071281e-15	-2.985787e+05
77	-2.988261e+05	2.073932e-15	-2.988261e+05
78	-2.990037e+05	2.075824e-15	-2.990037e+05
79	-2.994037e+05	2.078367e-15	-2.994037e+05
80	-2.997884e+05	2.083153e-15	-2.997884e+05
81	-2.996859e+05	2.084643e-15	-2.996859e+05
82	-2.994952e+05	2.082541e-15	-2.994952e+05
83	-2.996065e+05	2.082112e-15	-2.996065e+05
84	-2.999492e+05	2.084890e-15	-2.999492e+05
85	-3.001437e+05	2.087985e-15	-3.001437e+05
86	-3.001867e+05	2.088997e-15	-3.001867e+05
87	-3.003707e+05	2.089801e-15	-3.003707e+05
88	-3.006918e+05	2.092731e-15	-3.006918e+05
89	-3.009288e+05	2.095345e-15	-3.009288e+05
90	-3.012393e+05	2.098133e-15	-3.012393e+05
91	-3.012400e+05	2.100500e-15	-3.012400e+05
92	-3.006960e+05	2.097567e-15	-3.006960e+05
93	-3.002518e+05	2.091624e-15	-3.002518e+05
94	-3.002396e+05	2.089613e-15	-3.002396e+05
95	-3.001351e+05	2.089960e-15	-3.001351e+05
96	-2.995919e+05	2.086594e-15	-2.995919e+05
97	-2.991403e+05	2.080917e-15	-2.991403e+05
98	-2.991377e+05	2.078717e-15	-2.991377e+05
99	-2.995129e+05	2.080793e-15	-2.995129e+05
100	-3.000820e+05	2.085751e-15	-3.000820e+05
