Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 41A1F3CC	41E1DFD4	41FACB8D	
DEC 61 : 21.370291	33.131893	28.405224	
HEX 62 : 41B6B10D	41F4713B	41DC1292	
DEC 62 : 22.836451	30.555288	27.509068	
HEX 63 : 41A0DFB2	41E46611	41EB084B	
DEC 63 : 20.109226	28.549837	29.379049	
HEX 64 : 41B88CC0	41F8E165	41F6C44A	
DEC 64 : 23.068726	31.110056	30.845844	
HEX 65 : 4194EC74	42033850	4201BA18	
DEC 65 : 18.615456	32.804993	32.431732	
HEX 66 : 41BAC7A7	4206C071	41EF8995	
DEC 66 : 23.347486	33.687931	29.942179	
HEX 67 : 41A887FE	41DA98C8	42042213	
DEC 67 : 21.066402	27.324600	33.033276	
HEX 68 : 41952D95	41DE8B8A	4201F220	
DEC 68 : 18.647257	27.818134	32.486450	
HEX 69 : 41A800C0	41EE2F16	41CF6D80	
DEC 69 : 21.000366	29.772991	25.928467	
HEX 70 : 419A43D5	4201062B	41D1D5CF	
DEC 70 : 19.283121	32.256023	26.229399	
HEX 71 : 41B879A8	420075DB	41E5ED38	
DEC 71 : 23.059402	32.115093	28.740829	
HEX 72 : 41937AC5	41D8AFA7	41DDD176	
DEC 72 : 18.434946	27.085768	27.727276	
HEX 73 : 418EC5F6	41D241F6	42061366	
DEC 73 : 17.846661	26.282207	33.518944	
HEX 74 : 41A798BD	41ED131C	41DF640B	
DEC 74 : 20.949579	29.634331	27.923849	
HEX 75 : 41BF41A6	41F12C82	41E958FA	
DEC 75 : 23.907055	30.146732	29.168446	
HEX 76 : 41B96FF5	41EB9F97	41CF0192	
DEC 76 : 23.179667	29.452925	25.875767	
HEX 77 : 418E2C08	41F962E6	41FC0273	
DEC 77 : 17.771500	31.173290	31.501196	
HEX 78 : 418CB6D6	41FB0903	41EC2964	
DEC 78 : 17.589275	31.379400	29.520210	
HEX 79 : 41C3B0B2	41CE914C	42006E43	
DEC 79 : 24.461277	25.820946	32.107677	
HEX 80 : 419D5410	41F02C6B	41F54DCD	
DEC 80 : 19.666046	30.021688	30.662989	
HEX 81 : 41C7C82B	41E45F46	4201D8AB	
DEC 81 : 24.972738	28.546520	32.461590	
HEX 82 : 41A6060D	4204CCCD	42015570	
DEC 82 : 20.752954	33.200001	32.333435	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
