Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 3F3BAF86	41EF0B9B	417B992E	
DEC 62 : 6.802098	32.855648	13.806175	
HEX 63 : 40D2F894	41DA2C0C	4164E787	
DEC 63 : 6.592844	27.271507	14.306525	
HEX 64 : 3F8320C0	41E7D606	41442CDB	
DEC 64 : 1.024437	28.979504	12.260951	
HEX 65 : 40B8B90A	41F4D895	411BD81A	
DEC 65 : 5.772588	30.605753	9.740259	
HEX 66 : 400A7B31	41F724D4	411274D2	
DEC 66 : 2.163769	30.892982	9.153521	
HEX 67 : 3F8F3797	41F419DB	412E2FED	
DEC 67 : 1.118884	30.512625	10.886701	
HEX 68 : 3FEF016D	41DFC455	41828966	
DEC 68 : 1.867231	27.970865	16.317089	
HEX 69 : 40497F20	41F8A97A	413536B1	
DEC 69 : 3.148384	31.082752	11.325852	
HEX 70 : 40A65493	41D3D1EC	411B94D8	
DEC 70 : 5.197824	26.477501	9.723839	
HEX 71 : 4043F634	41D476ED	412C46CD	
DEC 71 : 3.061902	26.558069	10.767285	
HEX 72 : 410528BE	41D34132	415CBBD7	
DEC 72 : 8.322447	26.406834	13.795859	
HEX 73 : 40E19B2E	41F08A97	413553A4	
DEC 73 : 7.050193	30.067671	11.332920	
HEX 74 : 3BCADDDF	42052EA6	4172B185	
DEC 74 : 0.006191	33.295555	15.168340	
HEX 75 : 40FAD033	41F927A7	4117620B	
DEC 75 : 7.837915	31.144361	9.461436	
HEX 76 : 3BCAD57C	41DBA8B0	417CB74C	
DEC 76 : 0.006190	27.457367	15.794750	
HEX 77 : 3E714014	42001D7E	41859767	
DEC 77 : 0.235596	32.028801	16.698927	
HEX 78 : 3FE71B3F	4206DDD8	4166746B	
DEC 78 : 1.805519	33.716644	14.403422	
HEX 79 : 40D69199	41D175A5	41301311	
DEC 79 : 6.705273	26.182444	11.004655	
HEX 80 : 4085B1C4	41F7EA4F	4182CDD1	
DEC 80 : 4.177950	30.989408	16.350496	
HEX 81 : 4016404A	42035799	410B6F0F	
DEC 81 : 2.347674	32.835545	8.714614	
HEX 82 : 3F8F93EE	41D5DE31	4136E790	
DEC 82 : 1.121702	26.733492	11.431534	
HEX 83 : 3FCF2E8C	41D0123E	4184EBF3	
