Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
DEC 62 : 15.072227	33.815941	30.434675	
HEX 63 : 41724FDB	41EEE2EC	41D321B2	
DEC 63 : 15.144496	29.860802	26.391453	
HEX 64 : 413AF9AB	41D06E7C	42047224	
DEC 64 : 11.685954	26.053947	33.111465	
HEX 65 : 413BF8DC	41E567E2	41E5A0ED	
DEC 65 : 11.748257	28.675724	28.703577	
HEX 66 : 411B1AA5	41DFDA8C	41E56943	
DEC 66 : 9.694005	27.981712	28.676397	
HEX 67 : 41546237	4203A2D0	41D663B8	
DEC 67 : 13.273978	32.908997	26.798691	
HEX 68 : 4168638F	42037C1D	41E2F5BB	
DEC 68 : 14.524306	32.871204	28.369986	
HEX 69 : 417DE8F9	4207007B	4205FD0B	
DEC 69 : 15.869378	33.750469	33.497112	
HEX 70 : 41553854	42031F2F	41EFD600	
DEC 70 : 13.326252	32.780453	29.979492	
HEX 71 : 4185D225	41DEF729	42042E43	
DEC 71 : 16.727610	27.870684	33.045177	
HEX 72 : 412F80EC	41FDFC22	4200F770	
DEC 72 : 10.968975	31.748112	32.241638	
HEX 73 : 4111F2BA	42078210	41F42B0D	
DEC 73 : 9.121759	33.877014	30.521021	
HEX 74 : 41510DEF	41D76305	41FF95D5	
DEC 74 : 13.065902	26.923349	31.948160	
HEX 75 : 416C6834	41DD7F50	42029AAA	
DEC 75 : 14.775440	27.687164	32.651039	
HEX 76 : 41654FCB	41EC55C0	42057EC0	
DEC 76 : 14.331981	29.541870	33.373779	
HEX 77 : 417CFC99	41F0EBFD	4200A041	
DEC 77 : 15.811669	30.115229	32.156498	
HEX 78 : 4140A9A3	41E01C9F	42052EBC	
DEC 78 : 12.041415	28.013975	33.295639	
HEX 79 : 41110C90	42010D1A	41FF4123	
DEC 79 : 9.065567	32.262794	31.906805	
HEX 80 : 4159FF38	41E980B8	41E9A712	
DEC 80 : 13.624809	29.187851	29.206577	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
