Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 61 : 4085683E	41A84C7D	41EDD2F1	
DEC 61 : 4.168975	21.037348	29.727999	
HEX 62 : 408F95E8	419CEA37	41F8C677	
DEC 62 : 4.487049	19.614363	31.096907	
HEX 63 : 4105E6B6	41B05D2E	41FC46F1	
DEC 63 : 8.368826	22.045498	31.534639	
HEX 64 : 4011A57A	41B5752C	41CD1685	
DEC 64 : 2.275725	22.682213	25.635996	
HEX 65 : 40D6279C	41A8F738	41F7A715	
DEC 65 : 6.692335	21.120712	30.956583	
HEX 66 : 3EA78940	41BCA8FE	41F0F616	
DEC 66 : 0.327219	23.582516	30.120159	
HEX 67 : 3FE57093	419D40FC	41D6ECAD	
DEC 67 : 1.792498	19.656731	26.865564	
HEX 68 : 405E7222	41C75D5D	41EEAD30	
DEC 68 : 3.475716	24.920588	29.834564	
HEX 69 : 40B1B624	41C95BBC	4203E030	
DEC 69 : 5.553484	25.169792	32.968933	
HEX 70 : 3FE2EF70	41AC927B	42067ED5	
DEC 70 : 1.772932	21.571524	33.623859	
HEX 71 : 40F439A8	4191EB68	41F10BCF	
DEC 71 : 7.632038	18.239944	30.130766	
HEX 72 : 3FAB31C2	41BF1721	41FE8DF6	
DEC 72 : 1.337456	23.886293	31.819317	
HEX 73 : 40C0C040	41B00D8A	41EA57E3	
DEC 73 : 6.023468	22.006611	29.292913	
HEX 74 : 406DA97E	41CB0F94	41FE2080	
DEC 74 : 3.713470	25.382607	31.765869	
HEX 75 : 40C9C6D4	41996737	41FE713F	
DEC 75 : 6.305521	19.175398	31.805296	
HEX 76 : 402D6588	41983709	41F0C405	
DEC 76 : 2.709322	19.026873	30.095713	
HEX 77 : 40F81DD6	418EFAA7	42010860	
DEC 77 : 7.753642	17.872389	32.258179	
HEX 78 : 3FA72618	41A0AD44	4201791B	
DEC 78 : 1.305850	20.084602	32.368267	
HEX 79 : 41030A7B	41BFC70B	4200297A	
DEC 79 : 8.190059	23.972189	32.040504	
HEX 80 : 40FDF252	41A0B547	41EA45FC	
DEC 80 : 7.935830	20.088514	29.284172	
HEX 81 : 40D5D17E	41A4D96E	41DE8471	
DEC 81 : 6.681823	20.606167	27.814669	
HEX 82 : 40DE6D3B	41BD59E9	41E565EA	
DEC 82 : 6.950834	23.668901	28.674763	
HEX 83 : 3BC97D8D	41A204C2	41F6DC04	
DEC 83 : 0.006149	20.252323	30.857430	
HEX 84 : 40E952B7	419DAD84	4205D875	
DEC 84 : 7.291347	19.709724	33.461384	
HEX 85 : 40D1A676	41C1FF3E	41D4CFB4	
DEC 85 : 6.551570	24.249630	26.601418	
HEX 86 : 40AD68C0	418D5F93	4203DC42	
DEC 86 : 5.419037	17.671667	32.965096	
HEX 87 : 404836F0	4190EA99	41E2B9A4	
DEC 87 : 3.128353	18.114550	28.340645	
HEX 88 : 41031C05	419F824B	41FC5CCF	
DEC 88 : 8.194341	19.938620	31.545317	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
