Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
DEC 63 : 28.208031	8.907659	13.085814	
HEX 64 : 41D21582	41196482	417EAA24	
DEC 64 : 26.260502	9.587038	15.916538	
HEX 65 : 41E903EE	4152D4FF	4150272A	
DEC 65 : 29.126919	13.177001	13.009562	
HEX 66 : 41F21B77	4187FB09	4150806F	
DEC 66 : 30.263411	16.997576	13.031356	
HEX 67 : 41ED0435	41467F59	417DDCEB	
DEC 67 : 29.627054	12.406091	15.866435	
HEX 68 : 41F4BD3A	4170B3F0	414C1E62	
DEC 68 : 30.592396	15.043930	12.757418	
HEX 69 : 41CF66E1	410CA060	4117C5E1	
DEC 69 : 25.925234	8.789154	9.485810	
HEX 70 : 41E2FDD1	417BDBE9	411FBD6D	
DEC 70 : 28.373934	15.741189	9.983747	
HEX 71 : 42028F05	41448413	412DC32C	
DEC 71 : 32.639668	12.282245	10.860149	
HEX 72 : 41E8C86A	4183CF6F	417DBC60	
DEC 72 : 29.097858	16.476286	15.858490	
HEX 73 : 4200CE33	41204625	41684116	
DEC 73 : 32.201366	10.017125	14.515890	
HEX 74 : 41F9C783	4110336C	41812197	
DEC 74 : 31.222418	9.012554	16.141401	
HEX 75 : 41F73C9A	417764C0	417E43A4	
DEC 75 : 30.904591	15.462097	15.891514	
HEX 76 : 41F3DF8D	4139D4DE	41572F9E	
DEC 76 : 30.484156	11.614470	13.449125	
HEX 77 : 41D75406	417DC148	41359052	
DEC 77 : 26.916027	15.859688	11.347734	
HEX 78 : 41CC3B51	4156BDA6	41799C62	
DEC 78 : 25.528963	13.421301	15.600679	
HEX 79 : 4206DC82	415644D7	416AC25B	
DEC 79 : 33.715340	13.391807	14.672450	
HEX 80 : 4202A4B1	4183C74F	411C5166	
DEC 80 : 32.660831	16.472319	9.769873	
HEX 81 : 4201CB76	4146A43F	410C2607	
DEC 81 : 32.448692	12.415099	8.759284	
HEX 82 : 41FA9639	410D8555	41377B72	
DEC 82 : 31.323351	8.845052	11.467638	
HEX 83 : 41D6545D	41280A6C	41508EFE	
DEC 83 : 26.791193	10.502544	13.034910	
HEX 84 : 41DD941B	41607A4B	412E8B5A	
DEC 84 : 27.697317	14.029857	10.909021	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
