Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 62 : 41BD98E9	41C0DF1F	41F328E4	
DEC 62 : 23.699663	24.108946	30.394966	
HEX 63 : 4197BCE0	41C1897E	41E20CF6	
DEC 63 : 18.967224	24.192135	28.256329	
HEX 64 : 41C4327C	41AB71CD	41E7D79A	
DEC 64 : 24.524651	21.430567	28.980274	
HEX 65 : 41932AD9	419E149B	41F856C6	
DEC 65 : 18.395922	19.760061	31.042370	
HEX 66 : 41A0A12D	419F5E2C	41DE5532	
DEC 66 : 20.078699	19.920982	27.791599	
HEX 67 : 4196E3CD	41931DFD	41ED4BC5	
DEC 67 : 18.861231	18.389643	29.661997	
HEX 68 : 41A3BCDC	41BACF40	41EA5111	
DEC 68 : 20.467216	23.351196	29.289583	
HEX 69 : 41BE6FD6	41C50B55	4207291A	
DEC 69 : 23.804607	24.630533	33.790138	
HEX 70 : 41AB24E9	41B46C6D	41CDA53E	
DEC 70 : 21.393023	22.552942	25.705685	
HEX 71 : 418A4268	41BB4DAB	41FC7FF1	
DEC 71 : 17.282425	23.412924	31.562471	
HEX 72 : 4199B95A	41BA3735	42003A80	
DEC 72 : 19.215504	23.276957	32.057129	
HEX 73 : 41A471F2	41CB74A1	4205C735	
DEC 73 : 20.555637	25.431948	33.444538	
HEX 74 : 41C3B359	418E3C49	41E04685	
DEC 74 : 24.462572	17.779436	28.034433	
HEX 75 : 41C87DE3	41A8CBDE	41D8A897	
DEC 75 : 25.061468	21.099545	27.082319	
HEX 76 : 41B4C173	41AAAA10	41E3B9A6	
DEC 76 : 22.594458	21.333038	28.465649	
HEX 77 : 41BE290D	418B1306	42055D8C	
DEC 77 : 23.770044	17.384289	33.341354	
HEX 78 : 41B80716	41C2A31E	41D7D397	
DEC 78 : 23.003460	24.329647	26.978315	
HEX 79 : 41C2634B	4189B5DC	41D0FC25	
DEC 79 : 24.298483	17.213799	26.123117	
HEX 80 : 4191B155	41C9318F	41FF4B3B	
DEC 80 : 18.211588	25.149199	31.911734	
HEX 81 : 41C9338F	419A9DC7	41D1480A	
DEC 81 : 25.150175	19.327040	26.160175	
HEX 82 : 41CBDE8A	41B9CA37	41F4A781	
DEC 82 : 25.483662	23.223738	30.581789	
HEX 83 : 4192EAB8	41ABD51E	41D482BC	
DEC 83 : 18.364609	21.479061	26.563835	
HEX 84 : 41BE89B2	41B18E86	41F7E494	
DEC 84 : 23.817234	22.194592	30.986610	
HEX 85 : 419636B3	418CC90F	41DE9E04	
DEC 85 : 18.776709	17.598173	27.827156	
HEX 86 : 41B8EE95	4196AF0B	42008551	
DEC 86 : 23.116495	18.835470	32.130192	
HEX 87 : 41A130DC	41C821D9	41F2CD94	
DEC 87 : 20.148857	25.016527	30.350380	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
