Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 41C2EFD3	40D58F52	3F9B6A94	
DEC 60 : 18.700388	4.951394	7.388170	
HEX 61 : 418CE626	40DBCBEF	4050A583	
DEC 61 : 17.612377	6.868644	3.260102	
HEX 62 : 418B061D	41073D2B	409549FD	
DEC 62 : 17.377985	8.452434	4.665282	
HEX 63 : 41901925	4097B97E	40A847F7	
DEC 63 : 18.012278	4.741393	5.258785	
HEX 64 : 419E5FDD	40C8086C	40CAB9B4	
DEC 64 : 19.796808	6.251028	6.335169	
HEX 65 : 41C946BC	40A97477	3A4C35CE	
DEC 65 : 25.159538	5.295467	0.000779	
HEX 66 : 419E834B	40350A6C	3A4BF2B2	
DEC 66 : 19.814108	2.828761	0.000778	
HEX 67 : 4194013D	3B788334	40824FFD	
DEC 67 : 18.500605	0.003792	4.072264	
HEX 68 : 41A35D5E	3AC197E5	40943BB0	
DEC 68 : 20.420589	0.001477	4.632286	
HEX 69 : 419CDF66	40E5D1D9	3F826128	
DEC 69 : 19.609081	7.181866	1.018590	
HEX 70 : 41B5AC28	40812B2C	40DF3B47	
DEC 70 : 22.709061	4.036520	6.975986	
HEX 71 : 41A1F868	403B299E	40E797C6	
DEC 71 : 20.246292	2.924415	7.237277	
HEX 72 : 4194080B	40B749DE	3FEAB314	
DEC 72 : 18.503927	5.727767	1.833590	
HEX 73 : 41C48354	400D7E0F	4076031D	
DEC 73 : 24.564125	2.210819	3.843940	
HEX 74 : 41B0968C	40A73580	40A906E4	
DEC 74 : 22.073509	5.225281	5.282091	
HEX 75 : 41AA1C7E	40F504B2	3A4C35CE	
DEC 75 : 21.263912	7.656823	0.000779	
HEX 76 : 4191BAD5	3F6FF3AE	40BA2D3A	
DEC 76 : 18.216227	0.937312	5.818021	
HEX 77 : 41AB6558	40400B78	409F32A2	
DEC 77 : 21.424484	3.000700	4.974931	
HEX 78 : 41B3B9DD	40040FF9	40D83726	
DEC 78 : 22.465754	2.063475	6.756732	
HEX 79 : 419A32D3	40AFC684	3A4C35CE	
DEC 79 : 19.274817	5.492983	0.000779	
HEX 80 : 418CAFBD	4041429A	407A81D8	
DEC 80 : 17.585810	3.019690	3.914175	
HEX 81 : 41A0D9E7	408BAB5A	40B37E31	
DEC 81 : 20.106398	4.364667	5.609154	
HEX 82 : 41B9E113	40C1EFBD	40D5D711	
DEC 82 : 23.234900	6.060515	6.682503	
HEX 83 : 41A93235	3FE8A8A8	3F9D3682	
DEC 83 : 21.149515	1.817647	1.228226	
HEX 84 : 41BE7BBC	3E9A9132	40EA2D8E	
DEC 84 : 23.810417	0.301889	7.318061	
HEX 85 : 41A03D18	40867269	3FB845BB	
DEC 85 : 20.029831	4.201466	1.439628	
HEX 86 : 4198FFBD	401DB25F	3FEBD6BF	
DEC 86 : 19.124872	2.464012	1.842491	
HEX 87 : 41AA0CB3	40B47311	3ECD03DA	
DEC 87 : 21.256201	5.639046	0.400420	
HEX 88 : 41C33FFB	3FFD0B74	40C4CB5C	
DEC 88 : 24.406240	1.976912	6.149824	
HEX 89 : 419B2438	40702624	405DFF76	
DEC 89 : 19.392685	3.752328	3.468717	
HEX 90 : 41CB92C1	3AC0F020	3FBC1449	
DEC 90 : 25.446657	0.001472	1.469369	
HEX 91 : 41A745F9	40BDAC9D	401F5297	
DEC 91 : 20.909166	5.927321	2.489416	
HEX 92 : 41BA1006	40FA0138	3A4CBC06	
DEC 92 : 23.257824	7.812649	0.000781	
HEX 93 : 41A35186	3ABF1A5D	3FD0ACE2	
DEC 93 : 20.414806	0.001458	1.630276	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
