Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 62 : 41E950C2	41361D2B	3CE8C261	
DEC 62 : 29.164433	11.382121	0.028413	
HEX 63 : 41E63312	41813892	40C74EA0	
DEC 63 : 28.774937	16.152622	6.228348	
HEX 64 : 4203CAA9	4146422B	405A6052	
DEC 64 : 32.947910	12.391154	3.412129	
HEX 65 : 41DB713D	4144E31C	3ECE4192	
DEC 65 : 27.430292	12.305447	0.402844	
HEX 66 : 41CD1E62	417938EE	3A4C78EA	
DEC 66 : 25.639835	15.576399	0.000780	
HEX 67 : 41E646E2	413A358A	40CBC19E	
DEC 67 : 28.784611	11.638071	6.367385	
HEX 68 : 41CC420A	412C3EA6	40A1B6FC	
DEC 68 : 25.532246	10.765295	5.053587	
HEX 69 : 41D6DD35	416BA029	40E767DC	
DEC 69 : 26.858011	14.726602	7.231428	
HEX 70 : 41E965DC	411BB1F4	3FEF1666	
DEC 70 : 29.174736	9.730946	1.867871	
HEX 71 : 41ED17F0	415FE896	3A4C35CE	
DEC 71 : 29.636688	13.994284	0.000779	
HEX 72 : 4201A4F5	416ED987	3FA1B40B	
DEC 72 : 32.411091	14.928107	1.263307	
HEX 73 : 41CD8180	416B25E0	408EBDD5	
DEC 73 : 25.688232	14.696747	4.460673	
HEX 74 : 41F29A5F	4129D726	40B365EB	
DEC 74 : 30.325377	10.615026	5.606191	
HEX 75 : 4200EA73	413D5031	40DB7B5F	
DEC 75 : 32.228954	11.832078	6.858810	
HEX 76 : 41FECEEA	4166B7F7	40953474	
DEC 76 : 31.851032	14.419913	4.662653	
HEX 77 : 42039BDC	410E1295	3FAC8A61	
DEC 77 : 32.902206	8.879537	1.347973	
HEX 78 : 41CE0EDB	410C6F7E	40A19EB8	
DEC 78 : 25.757254	8.777220	5.050625	
HEX 79 : 42035829	41818777	40C538B7	
DEC 79 : 32.836094	16.191145	6.163173	
HEX 80 : 41F3620F	416A704E	3FDBEB85	
DEC 80 : 30.422880	14.652418	1.718125	
