Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 41D7FC5F	41A009CE	416D83CD	
HEX 62 : 42037A32	4194B4EE	4113B5E6	
DEC 62 : 32.869331	18.588345	9.231909	
HEX 63 : 41FB22A7	41A8F43A	418440D6	
DEC 63 : 31.391920	21.119251	16.531658	
HEX 64 : 41D1640F	41BACA04	41302E10	
DEC 64 : 26.173857	23.348640	11.011246	
HEX 65 : 41CD1C21	41917E58	413F6345	
DEC 65 : 25.638735	18.186691	11.961736	
HEX 66 : 42062C84	41B04E5C	412A4886	
DEC 66 : 33.543472	22.038261	10.642706	
HEX 67 : 41CFF741	41AEF4E3	416D05A0	
DEC 67 : 25.995729	21.869574	14.813873	
HEX 68 : 42071F06	41C0C76A	4120563D	
DEC 68 : 33.780296	24.097370	10.021054	
HEX 69 : 41FE83C7	419B62C6	416564A2	
DEC 69 : 31.814344	19.423229	14.337069	
HEX 70 : 41F2E49D	418D9441	416E7004	
DEC 70 : 30.361628	17.697390	14.902348	
HEX 71 : 41F72FDE	41A828D2	410B5183	
DEC 71 : 30.898373	21.019932	8.707400	
HEX 72 : 41F0C43D	41AFA06F	414E2553	
DEC 72 : 30.095819	21.953337	12.884112	
HEX 73 : 41E06043	41A8EAC7	41367F3F	
DEC 73 : 28.047003	21.114637	11.406066	
HEX 74 : 41E6D34A	41BF210A	417BF8A4	
DEC 74 : 28.853168	23.891132	15.748203	
HEX 75 : 41CF4EBF	41C63AEC	41182D5A	
DEC 75 : 25.913450	24.778770	9.511072	
HEX 76 : 41F4C30B	41B75C04	418170D0	
DEC 76 : 30.595236	22.919930	16.180084	
HEX 77 : 42054BA2	41A64743	41811895	
DEC 77 : 33.323860	20.784796	16.137003	
HEX 78 : 41DC308B	41B2AE5B	411E91B8	
DEC 78 : 27.523703	22.335135	9.910576	
HEX 79 : 41F6B8FE	41952225	4140CA9D	
DEC 79 : 30.840328	18.641672	12.049466	
HEX 80 : 41F43D41	41C71550	4174D101	
DEC 80 : 30.529909	24.885406	15.301026	
HEX 81 : 41EB6C5F	41C64A51	4144FB73	
DEC 81 : 29.427916	24.786287	12.311389	
HEX 82 : 42017004	41B4A840	4174CEE4	
DEC 82 : 32.359390	22.582153	15.300510	
HEX 83 : 41EA2B8F	41B6C050	4134B617	
DEC 83 : 29.271269	22.843903	11.294456	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
