Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 62 : 12.790933	17.702538	28.272903	
HEX 63 : 411C7F00	41A1A777	41E2C73F	
DEC 63 : 9.781006	20.206770	28.347288	
HEX 64 : 4119232F	419AE5F8	41F16C11	
DEC 64 : 9.571090	19.362289	30.177767	
HEX 65 : 418516EB	419A5CC2	42045EDE	
DEC 65 : 16.636190	19.295292	33.092644	
HEX 66 : 416F01A1	418D885A	41FC15C6	
DEC 66 : 14.937898	17.691578	31.510632	
HEX 67 : 417B2711	418B780B	42063AE0	
DEC 67 : 15.697038	17.433615	33.557495	
HEX 68 : 4138DFF1	41CA44A9	41DE70CC	
DEC 68 : 11.554673	25.283525	27.805077	
HEX 69 : 417D3712	41BFF001	41DBA0AD	
DEC 69 : 15.825945	23.992189	27.453455	
HEX 70 : 412A7987	41BD84A2	41D40C51	
DEC 70 : 10.654670	23.689762	26.506014	
HEX 71 : 41721EB4	418E8C3F	41DFD4C0	
DEC 71 : 15.132496	17.818480	27.978882	
HEX 72 : 41840592	41C93B4E	41CFC85C	
DEC 72 : 16.502720	25.153957	25.972832	
HEX 73 : 413FD7D8	41B1A7C9	41D2FCE8	
DEC 73 : 11.990196	22.206926	26.373489	
HEX 74 : 412EE5E0	41B51378	41EEF620	
DEC 74 : 10.931122	22.634506	29.870178	
HEX 75 : 417237A4	41B67D2E	41E74F75	
DEC 75 : 15.138584	22.811123	28.913797	
HEX 76 : 4118EEBB	418A6465	41F21CB4	
DEC 76 : 9.558284	17.299021	30.264015	
HEX 77 : 413DEF7E	41C2DA1C	420047D3	
DEC 77 : 11.870970	24.356499	32.070141	
HEX 78 : 412B9667	4189A1D8	41E2FB7F	
DEC 78 : 10.724219	17.204025	28.372801	
HEX 79 : 41441E36	41A1A73D	41D37C39	
DEC 79 : 12.257376	20.206659	26.435656	
HEX 80 : 41161E44	41C9B669	41D5F8F9	
DEC 80 : 9.382389	25.214067	26.746569	
HEX 81 : 41873A11	41C88F7A	41F18AD4	
DEC 81 : 16.903353	25.070057	30.192787	
HEX 82 : 41387244	4199ECF0	41E3C251	
DEC 82 : 11.527897	19.240692	28.469881	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
