Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
DEC 61 : 0.006156	19.305326	0.000735	
HEX 62 : 40C46825	41B53402	4064A21A	
DEC 62 : 6.137713	22.650394	3.572394	
HEX 63 : 3EF2CB64	41903306	40D21071	
DEC 63 : 0.474208	18.024914	6.564507	
HEX 64 : 3BCAD57C	41A9E343	40643B3A	
DEC 64 : 0.006190	21.235968	3.566115	
HEX 65 : 3ECFB9BF	41A9A6FE	3F974B0E	
DEC 65 : 0.405714	21.206539	1.181978	
HEX 66 : 40BDE4BD	418D04F1	3FFAFD97	
DEC 66 : 5.934172	17.627413	1.960864	
HEX 67 : 40FFB5E7	41CA9C35	40F6ED31	
DEC 67 : 7.990955	25.326273	7.716454	
HEX 68 : 408D0410	41A2F86F	3A45EB31	
DEC 68 : 4.406746	20.371305	0.000755	
HEX 69 : 404F3737	41B60053	3A82ADC5	
DEC 69 : 3.237745	22.750158	0.000997	
HEX 70 : 40C76148	418AE66C	3A4B6C7A	
DEC 70 : 6.230625	17.362511	0.000776	
HEX 71 : 3BCB4AED	41B74DB5	400FB84A	
DEC 71 : 0.006204	22.912943	2.245623	
HEX 72 : 4094E790	41951599	40A3DF1E	
DEC 72 : 4.653267	18.635546	5.120986	
HEX 73 : 3FFADB59	41C690CC	3B9E236C	
DEC 73 : 1.959819	24.820702	0.004826	
HEX 74 : 40F6A5EE	41C78EF7	40B2595C	
DEC 74 : 7.707755	24.944807	5.573408	
HEX 75 : 403D73D2	41B57B54	40227864	
DEC 75 : 2.960194	22.685219	2.538598	
HEX 76 : 3F40EDC4	41CA69F4	40867D61	
DEC 76 : 0.753628	25.301735	4.202805	
HEX 77 : 40B007A9	41C45EDE	4064BBED	
DEC 77 : 5.500935	24.546322	3.573970	
HEX 78 : 3D1AF8DF	41C5AA7E	3F1F8E9F	
DEC 78 : 0.037835	24.708248	0.623270	
HEX 79 : 3BCA600B	41B20D09	41067FF4	
DEC 79 : 0.006176	22.256365	8.406239	
HEX 80 : 40028E22	41AB62ED	40907B0B	
DEC 80 : 2.039925	21.423304	4.515020	
HEX 81 : 4089D172	418F462E	3A4C35CE	
DEC 81 : 4.306817	17.909267	0.000779	
HEX 82 : 406E7004	41A8CD3F	405F4046	
DEC 82 : 3.725587	21.100218	3.488298	
HEX 83 : 40BB5539	4199883B	3F378E3B	
DEC 83 : 5.854153	19.191519	0.717014	
HEX 84 : 400CB60F	4188A68B	40E6ADBC	
DEC 84 : 2.198612	17.081320	7.208708	
HEX 85 : 40E23709	41BACF60	40E96C16	
DEC 85 : 7.069218	23.351257	7.294444	
HEX 86 : 40444FA5	41A22D47	41075306	
DEC 86 : 3.067361	20.272108	8.457769	
HEX 87 : 40A29E6B	41B16FD7	3F0643FE	
DEC 87 : 5.081838	22.179609	0.524475	
HEX 88 : 40E9A377	41CA8FCF	3F3DA198	
DEC 88 : 7.301204	25.320219	0.740747	
HEX 89 : 3BCB295F	41B62976	3A4E0B91	
DEC 89 : 0.006200	22.770245	0.000786	
HEX 90 : 4092BBFD	41A0E889	3FFCED14	
DEC 90 : 4.585448	20.113543	1.975985	
HEX 91 : 3F330681	41C2EE3F	40C4D93E	
DEC 91 : 0.699318	24.366331	6.151519	
HEX 92 : 40C01E6F	41887DA0	40782E38	
DEC 92 : 6.003715	17.061340	3.877821	
HEX 93 : 3F9B3DC9	41978ED4	3FC6FCD6	
DEC 93 : 1.212823	18.944740	1.554591	
HEX 94 : 40803A0A	41891427	407DECF2	
DEC 94 : 4.007085	17.134840	3.967587	
HEX 95 : 3BCAEEA6	418A7150	3A4C35CE	
DEC 95 : 0.006193	17.305328	0.000779	
HEX 96 : 3FFF776C	419C467D	40A577B8	
DEC 96 : 1.995832	19.534418	5.170864	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
