Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
DEC 61 : 0.006200	26.038631	22.170069	
HEX 62 : 3EA04BC2	41F5B3EE	41B2F99A	
DEC 62 : 0.313078	30.712856	22.371876	
HEX 63 : 4104A722	4200F8B2	41B17B2E	
DEC 63 : 8.290804	32.242867	22.185146	
HEX 64 : 406924FB	42020F91	41B28839	
DEC 64 : 3.642882	32.515202	22.316515	
HEX 65 : 40B1CBF3	4201925F	419C95BC	
DEC 65 : 5.556146	32.392941	19.573112	
HEX 66 : 40A87C50	41EC042E	419C940D	
DEC 66 : 5.265175	29.502041	19.572290	
HEX 67 : 410018AC	41FF72AA	41A0B4B7	
DEC 67 : 8.006023	31.930988	20.088240	
HEX 68 : 403572AC	41CE1250	41AB94B1	
DEC 68 : 2.835124	25.758942	21.447603	
HEX 69 : 405F567A	4203858B	41C6744A	
DEC 69 : 3.489653	32.880413	24.806782	
HEX 70 : 409A02D8	41F8122B	41A67C80	
DEC 70 : 4.812847	31.008871	20.810791	
HEX 71 : 40EE1D8F	41FB44F7	41BF2FED	
DEC 71 : 7.441108	31.408674	23.898401	
HEX 72 : 40749B84	41E7B328	41C782A8	
DEC 72 : 3.821992	28.962479	24.938797	
HEX 73 : 3FD2CC1D	41ECAB66	418BD527	
DEC 73 : 1.646854	29.583691	17.479078	
HEX 74 : 3E9BA0E8	4205AC3F	41B87114	
DEC 74 : 0.303962	33.418209	23.055214	
HEX 75 : 3FFECE4F	41ECD0CA	41C25E8D	
DEC 75 : 1.990671	29.601948	24.296167	
HEX 76 : 3D5F4B1F	41D38EE1	41A09D9D	
DEC 76 : 0.054515	26.444765	20.076960	
HEX 77 : 40B00D5C	41E97BEA	41AC5DF5	
DEC 77 : 5.501631	29.185505	21.545877	
HEX 78 : 403E6B66	41CFC9C3	41BBF67A	
DEC 78 : 2.975305	25.973516	23.495350	
HEX 79 : 41001616	41D57CA7	41A452DF	
DEC 79 : 8.005392	26.685865	20.540464	
HEX 80 : 40A5F8FD	41EC7001	418C8757	
DEC 80 : 5.186644	29.554689	17.566084	
HEX 81 : 405AD463	41D70014	41C9CBE7	
DEC 81 : 3.419213	26.875038	25.224562	
HEX 82 : 403CFC9C	41FBFA26	41A21612	
DEC 82 : 2.952918	31.497143	20.260777	
