Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
DEC 61 : 31.028589	7.868311	19.451078	
HEX 62 : 41E5CC2E	404322D5	41CA66D5	
DEC 62 : 28.724697	3.049001	25.300211	
HEX 63 : 42069A05	401A3CEA	41BA9AEF	
DEC 63 : 33.650410	2.409968	23.325651	
HEX 64 : 41EC1CB9	3AB84988	41BEFDA1	
DEC 64 : 29.514025	0.001406	23.873842	
HEX 65 : 41EFF4E9	3E7EA4EC	418C4714	
DEC 65 : 29.994585	0.248676	17.534706	
HEX 66 : 41CE59E5	40A0587D	419EE97A	
DEC 66 : 25.793894	5.010802	19.864002	
HEX 67 : 41CE8C1F	3FD0C797	41A4089E	
DEC 67 : 25.818419	1.631091	20.504208	
HEX 68 : 4203CBDB	3FDED6D4	41AC8E17	
DEC 68 : 32.949078	1.740931	21.569380	
HEX 69 : 41F66F55	4076070C	418DB017	
DEC 69 : 30.804361	3.844180	17.710981	
HEX 70 : 41D4F16F	408ED6F1	41B69199	
DEC 70 : 26.617887	4.463738	22.821093	
HEX 71 : 41FF572B	401E9AA2	41C87892	
DEC 71 : 31.917562	2.478188	25.058872	
HEX 72 : 41EAF0A4	3FBBCE4A	419A68F8	
DEC 72 : 29.367500	1.467233	19.301254	
HEX 73 : 41E20A6D	3AC026CC	4193EC03	
DEC 73 : 28.255091	0.001466	18.490240	
HEX 74 : 41CD71B8	40F64938	41A532E4	
DEC 74 : 25.680527	7.696438	20.649849	
HEX 75 : 41E06F6F	406B1294	41AB66AD	
DEC 75 : 28.054411	3.673009	21.425135	
HEX 76 : 42051A2A	40E1E4D2	41B8AC29	
DEC 76 : 33.275551	7.059182	23.084063	
HEX 77 : 41EEB925	40D74B5C	41B5E65D	
DEC 77 : 29.840403	6.727949	22.737482	
HEX 78 : 41EDF6B7	3FED9592	41B581A9	
DEC 78 : 29.745466	1.856127	22.688311	
HEX 79 : 41CFD157	40C87484	41B01C87	
DEC 79 : 25.977217	6.264223	22.013929	
HEX 80 : 41F9F1B9	4100C7CC	41BA9DF0	
DEC 80 : 31.243029	8.048779	23.327118	
HEX 81 : 41DCC0A5	408652A6	419C682B	
DEC 81 : 27.594065	4.197589	19.550863	
HEX 82 : 4202D91F	407C8AC6	41926C68	
DEC 82 : 32.712032	3.945970	18.302933	
HEX 83 : 41D2188C	3FA9F349	41B8E808	
DEC 83 : 26.261986	1.327737	23.113297	
HEX 84 : 41EDC347	403FACB8	41A4679D	
DEC 84 : 29.720350	2.994917	20.550592	
HEX 85 : 41E28EC1	40F93843	41A9CC6F	
DEC 85 : 28.319704	7.788118	21.224821	
HEX 86 : 41F5D015	3AC111AE	419B0916	
DEC 86 : 30.726603	0.001473	19.379436	
HEX 87 : 4207628E	40633E1D	41AD8E9C	
DEC 87 : 33.846245	3.550666	21.694633	
HEX 88 : 41E67BE9	40A1DB7D	41BEB69B	
DEC 88 : 28.810503	5.058043	23.839163	
HEX 89 : 41FEE648	405AB7E5	41ABD22E	
DEC 89 : 31.862442	3.417474	21.477627	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
