Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 41A8775C	41EDD17F	3FF50CE5	
DEC 61 : 22.721350	26.474571	3.867284	
HEX 62 : 41C2BD57	41EBCF44	3A4A600B	
DEC 62 : 24.342451	29.476204	0.000772	
HEX 63 : 41C59442	4204A611	40F35624	
DEC 63 : 24.697392	33.162174	7.604265	
HEX 64 : 41A0A893	41DD0279	401B0742	
DEC 64 : 20.082312	27.626207	2.422318	
HEX 65 : 41A0CC0E	41FBABC3	407F5C7D	
DEC 65 : 20.099636	31.458868	3.990020	
HEX 66 : 41B66C0C	420735CB	40F3E484	
DEC 66 : 22.802757	33.802532	7.621645	
HEX 67 : 41C1621D	4205FF72	3A4AA327	
DEC 67 : 24.172907	33.499458	0.000773	
HEX 68 : 419CF15B	41DED871	408D6912	
DEC 68 : 19.617849	27.855684	4.419076	
HEX 69 : 41A0893C	41ECBCF6	3A4BAF96	
DEC 69 : 20.067009	29.592266	0.000777	
HEX 70 : 4191C00C	41F2DA02	3A4BAF96	
DEC 70 : 18.218773	30.356449	0.000777	
HEX 71 : 41C6DD21	42025A40	3FD26E09	
DEC 71 : 24.857973	32.588135	1.643983	
HEX 72 : 41A92140	41E0B89B	3F44C77E	
DEC 72 : 21.141235	28.090139	0.768669	
HEX 73 : 41BD6E2C	41DB7CD4	40F41664	
DEC 73 : 23.678795	27.435951	7.627733	
HEX 74 : 419AC684	41F5FAC8	3FDEAE4B	
DEC 74 : 19.346931	30.747452	1.739694	
HEX 75 : 41AD5356	41F607D3	3E9E351E	
DEC 75 : 21.665691	30.753820	0.308999	
HEX 76 : 41A1A202	41EABBE3	4100DBCF	
DEC 76 : 20.204105	29.341742	8.053664	
HEX 77 : 418E8610	41E06CB4	4064CD81	
DEC 77 : 17.815460	28.053078	3.575043	
HEX 78 : 419EFAD2	41FCAC37	3A4AA327	
DEC 78 : 19.872471	31.584089	0.000773	
HEX 79 : 41BF1B38	41F39FCD	40A0770E	
DEC 79 : 23.888290	30.453028	5.014533	
HEX 80 : 41A7F728	41F3370A	40D1B8EB	
DEC 80 : 20.995682	30.401875	6.553823	
HEX 81 : 41B5DB1D	41FD9DBA	40E303C3	
DEC 81 : 22.731989	31.702015	7.094209	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
