Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
DEC 63 : 10.906093	17.548264	14.344839	
HEX 64 : 41702B26	418BDFD0	413932F7	
DEC 64 : 15.010534	17.484283	11.574943	
HEX 65 : 4181E353	4197F646	4128E549	
DEC 65 : 16.235998	18.995251	10.555978	
HEX 66 : 417C37C3	419896EB	4187D1BD	
DEC 66 : 15.763614	19.073690	16.977411	
HEX 67 : 411BB525	41B4E2FB	41641859	
DEC 67 : 9.731725	22.610830	14.255944	
HEX 68 : 4125D88A	41937E3C	413E581D	
DEC 68 : 10.365366	18.436638	11.896512	
HEX 69 : 4182D4EA	41C8F4D9	4112E18B	
DEC 69 : 16.353962	25.119555	9.180064	
HEX 70 : 413EBE8D	419927DA	411C326F	
DEC 70 : 11.921521	19.144459	9.762313	
HEX 71 : 41578676	41B09142	4154569C	
DEC 71 : 13.470327	22.070927	13.271145	
HEX 72 : 414AABE0	418A521C	410EB861	
DEC 72 : 12.666962	17.290092	8.920014	
HEX 73 : 41660DFB	41923EEE	411B2F45	
DEC 73 : 14.378413	18.280727	9.699040	
HEX 74 : 41558A30	41B163BE	41773090	
DEC 74 : 13.346237	22.173702	15.449356	
HEX 75 : 414A6FE0	41C5DD7E	4123B6AD	
DEC 75 : 12.652313	24.733150	10.232099	
HEX 76 : 41357C66	41BD31A4	41417083	
DEC 76 : 11.342871	23.649239	12.089969	
HEX 77 : 41790A3A	41998EAA	41499C8F	
DEC 77 : 15.564997	19.194660	12.600722	
HEX 78 : 41186BC1	41C13EAF	414C18D3	
DEC 78 : 9.526307	24.155607	12.756061	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
