Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 63 : 3BCAEEA6	413C1BAB	410C321A	
DEC 63 : 0.006193	11.756755	8.762232	
HEX 64 : 40CD61E3	412013CC	416E41F4	
DEC 64 : 6.418199	10.004833	14.891102	
HEX 65 : 40B7B8CC	415D2D9D	4110EDFA	
DEC 65 : 5.741308	13.823636	9.058100	
HEX 66 : 40903C58	414B4801	4130E6F6	
DEC 66 : 4.507366	12.705079	11.056387	
HEX 67 : 405A9770	41857CAF	41656301	
DEC 67 : 3.415493	16.685881	14.336671	
HEX 68 : 40448B7E	41444771	41471B74	
DEC 68 : 3.071014	12.267442	12.444202	
HEX 69 : 3F8633F0	4122CED5	41167B45	
DEC 69 : 1.048460	10.175496	9.405095	
HEX 70 : 408CAA24	41763175	417D0688	
DEC 70 : 4.395769	15.387074	15.814095	
HEX 71 : 3BCB8E08	4112811F	4173D1B3	
DEC 71 : 0.006212	9.156524	15.238696	
HEX 72 : 40D01D95	415D7BAD	4150A15B	
DEC 72 : 6.503611	13.842694	13.039393	
HEX 73 : 3C46A7F0	415DC5B6	41653611	
DEC 73 : 0.012125	13.860769	14.325700	
HEX 74 : 40446FF4	4114BB8C	41374797	
DEC 74 : 3.069333	9.295788	11.454978	
HEX 75 : 400C172B	412FB605	412D64CF	
DEC 75 : 2.188914	10.981938	10.837111	
HEX 76 : 40C15061	4121B2EB	41467E12	
DEC 76 : 6.041062	10.106181	12.405779	
HEX 77 : 3BCAAB8A	41542951	41214D0F	
DEC 77 : 0.006185	13.260087	10.081313	
HEX 78 : 3BCADDDF	412F78F5	41663933	
DEC 78 : 0.006191	10.967031	14.388965	
HEX 79 : 40EFAB0F	413590AA	413CE2BA	
DEC 79 : 7.489631	11.347818	11.805353	
HEX 80 : 40860E9F	4171578D	411D1D3F	
DEC 80 : 4.189285	15.083875	9.819640	
HEX 81 : 40773DBC	411B0C48	4171BEB8	
DEC 81 : 3.863143	9.690498	15.109062	
HEX 82 : 3F72E968	418086AA	4184525E	
DEC 82 : 0.948874	16.065754	16.540218	
HEX 83 : 408989DB	412D825A	413C2677	
DEC 83 : 4.298078	10.844324	11.759391	
HEX 84 : 3EBA37CE	41471343	417B0F56	
DEC 84 : 0.363707	12.442203	15.691244	
HEX 85 : 40F00C1E	410DDF6B	413D488A	
DEC 85 : 7.501479	8.867045	11.830210	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
