Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 61 : 26.554493	25.044926	1.975056	
HEX 62 : 4206C644	418BCAE3	400FD26B	
DEC 62 : 33.693619	17.474066	2.247218	
HEX 63 : 41F8199E	418E0A82	3A4B295F	
DEC 63 : 31.012508	17.755131	0.000775	
HEX 64 : 41DA4EE3	41B8E4E9	40C5BFD9	
DEC 64 : 27.288519	23.111773	6.179669	
HEX 65 : 41DE1E85	41C90B67	4064270F	
DEC 65 : 27.764902	25.130568	3.564884	
HEX 66 : 4200CA46	41BA9391	40575198	
DEC 66 : 32.197533	23.322054	3.364355	
HEX 67 : 42069348	419C8795	40E185C4	
DEC 67 : 33.643829	19.566202	7.047579	
HEX 68 : 41ECCAB6	4196CFB3	4054A82A	
DEC 68 : 29.598980	18.851416	3.322764	
HEX 69 : 42054E38	4188ED98	408EAEB0	
DEC 69 : 33.326385	17.116013	4.458824	
HEX 70 : 41EB5962	41A3D076	3FD094EE	
DEC 70 : 29.418644	20.476788	1.629545	
HEX 71 : 4201EE30	41C4A40F	3F6FF8A9	
DEC 71 : 32.482605	24.580107	0.937388	
HEX 72 : 41D2FFF2	41C8038D	40AB7E87	
DEC 72 : 26.374973	25.001734	5.359195	
HEX 73 : 41EC9687	4197B8AD	40AA3832	
DEC 73 : 29.573500	18.965174	5.319360	
HEX 74 : 41F66137	41BCE32C	3FFB9A9E	
DEC 74 : 30.797468	23.610924	1.965656	
HEX 75 : 41F9CA84	41AF1A90	409631AF	
DEC 75 : 31.223885	21.887970	4.693565	
HEX 76 : 41DCA25D	418B6CE8	408E2ECF	
DEC 76 : 27.579279	17.428177	4.443214	
HEX 77 : 41EE4815	41C67ADD	3EEF1D82	
DEC 77 : 29.785196	24.809992	0.467022	
HEX 78 : 41EC77A2	419A98C3	3A49D9D3	
DEC 78 : 29.558414	19.324591	0.000770	
HEX 79 : 41D5C3DF	41BA07CE	3F8CE7AB	
DEC 79 : 26.720640	23.253811	1.100820	
HEX 80 : 4205591B	41A44428	3F032032	
DEC 80 : 33.337017	20.533279	0.512210	
HEX 81 : 41D4A6DE	41978F81	4066B064	
DEC 81 : 26.581478	18.945070	3.604516	
HEX 82 : 41DD2BD5	419BE865	40A6A693	
DEC 82 : 27.646402	19.488474	5.207834	
HEX 83 : 41D804DD	41AB22D8	40983C5C	
DEC 83 : 27.002375	21.392014	4.757368	
HEX 84 : 41F8706F	419FE900	4082D6EB	
DEC 84 : 31.054899	19.988770	4.088735	
HEX 85 : 41F5ABDE	41A3B6AC	40C002D6	
