Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 61 : 41DA5345	41F1FE3D	4204F9D7	
DEC 61 : 27.290659	30.249140	33.243984	
HEX 62 : 41E393D3	41F932EF	41E699EA	
DEC 62 : 28.447180	31.149870	28.825153	
HEX 63 : 41E4A4C9	42046ECA	41DD6613	
DEC 63 : 28.580462	33.108192	27.674841	
HEX 64 : 41D2029A	42077EC7	41D764EA	
DEC 64 : 26.251270	33.873806	26.924274	
HEX 65 : 42003E35	420605E3	4207A59C	
DEC 65 : 32.060749	33.505749	33.911728	
HEX 66 : 41EDB2BF	4202900E	41D0BF6E	
DEC 66 : 29.712278	32.640678	26.093472	
HEX 67 : 41E25A31	41FAA053	41D5334C	
DEC 67 : 28.294039	31.328283	26.650047	
HEX 68 : 41D1CDE1	4201A727	41CC774C	
DEC 68 : 26.225527	32.413235	25.558250	
HEX 69 : 42058FFE	41F82734	41D9B3F8	
DEC 69 : 33.390617	31.019142	27.212875	
HEX 70 : 41D02B51	41F85235	41E99CDC	
DEC 70 : 26.021151	31.040140	29.201591	
HEX 71 : 42010EB6	41DA26FF	41D0511A	
DEC 71 : 32.264366	27.269041	26.039600	
HEX 72 : 41EE183A	41F29699	41DC847D	
DEC 72 : 29.761829	30.323534	27.564692	
HEX 73 : 41E0E337	4201FC6E	41F21EF5	
DEC 73 : 28.110945	32.496513	30.265116	
HEX 74 : 41D95BA3	42064319	42069BD5	
DEC 74 : 27.169744	33.565525	33.652180	
HEX 75 : 41D21A02	4203C650	41F71417	
DEC 75 : 26.262699	32.943665	30.884809	
HEX 76 : 41FB2C0D	41F403BA	4203D810	
DEC 76 : 31.396509	30.501820	32.960999	
HEX 77 : 41D1DC19	41FF3258	4203315E	
DEC 77 : 26.232470	31.899582	32.798210	
HEX 78 : 42068A4F	4206C9EE	41D6BF7F	
DEC 78 : 33.635067	33.697197	26.843504	
HEX 79 : 41FF697A	41D5B332	41F40789	
DEC 79 : 31.926502	26.712498	30.503679	
HEX 80 : 42065AB5	41F413AD	41FA7639	
DEC 80 : 33.588581	30.509607	31.307726	
HEX 81 : 42039547	41E2DD3F	41F8C7D2	
DEC 81 : 32.895779	28.358030	31.097569	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
