Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 62 : 41BD438A	412E75A4	41D63793	
DEC 62 : 23.657978	10.903721	26.777136	
HEX 63 : 41A9BF12	415B4AE3	41F27BDB	
DEC 63 : 21.218296	13.705783	30.310476	
HEX 64 : 41C84F39	417FD3AD	4202B30D	
DEC 64 : 25.038683	15.989179	32.674854	
HEX 65 : 41A7C767	410D3E8C	41F59239	
DEC 65 : 20.972364	8.827770	30.696398	
HEX 66 : 41C13244	414471F3	41E1285F	
DEC 66 : 24.149544	12.277820	28.144712	
HEX 67 : 418CA0C9	4180D5F1	41EC6872	
DEC 67 : 17.578508	16.104464	29.550999	
HEX 68 : 41B7D120	4161F6F5	41E49EC5	
DEC 68 : 22.977112	14.122792	28.577524	
HEX 69 : 41AB99AE	4182E6D5	41FDCFF4	
DEC 69 : 21.450039	16.362711	31.726540	
HEX 70 : 41A3DE78	41500C0D	42067686	
DEC 70 : 20.483627	13.002942	33.615746	
HEX 71 : 419A1EC6	4159CDAB	41D667C6	
DEC 71 : 19.265026	13.612712	26.800671	
HEX 72 : 41CA643E	4123F612	42051122	
DEC 72 : 25.298946	10.247576	33.266731	
HEX 73 : 41CBEC1C	416DF7B4	41F89FA0	
DEC 73 : 25.490288	14.872974	31.077942	
HEX 74 : 41BCE335	4186BDAF	41FA2848	
DEC 74 : 23.610941	16.842619	31.269669	
HEX 75 : 41C246FE	411315A2	41CF9ED1	
DEC 75 : 24.284664	9.192781	25.952547	
HEX 76 : 4190AC9D	41457818	41CE7141	
DEC 76 : 18.084284	12.341820	25.805300	
HEX 77 : 41964126	415DF107	420418FC	
DEC 77 : 18.781811	13.871345	33.024399	
HEX 78 : 41BDF01F	41548FD4	41FCF88D	
DEC 78 : 23.742247	13.285114	31.621363	
HEX 79 : 41A3526B	41427582	41EAB3C0	
DEC 79 : 20.415243	12.153688	29.337769	
HEX 80 : 419723E2	4186B22B	41CC905D	
DEC 80 : 18.892521	16.836996	25.570490	
HEX 81 : 418C67DA	4166C9C1	41FC265E	
DEC 81 : 17.550709	14.424256	31.518734	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
