Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 41E79EFB	411673A4	419AE4DD	
DEC 62 : 30.973955	10.005848	23.639324	
HEX 63 : 4204151C	410E4F9E	419EE5D8	
DEC 63 : 33.020615	8.894438	19.862228	
HEX 64 : 420038B3	413683F8	41AC7BAA	
DEC 64 : 32.055370	11.407219	21.560383	
HEX 65 : 420632A4	416A1601	41AFB337	
DEC 65 : 33.549454	14.630372	21.962507	
HEX 66 : 41E6D891	412D32DD	41BB017B	
DEC 66 : 28.855745	10.824918	23.375723	
HEX 67 : 42037BF3	415BBC82	41BCEEB1	
DEC 67 : 32.871044	13.733522	23.616549	
HEX 68 : 41D3E82E	418546BA	41ADD09A	
DEC 68 : 26.488369	16.659534	21.726856	
HEX 69 : 4207CD25	41810791	41BE4227	
DEC 69 : 33.950336	16.128695	23.782301	
HEX 70 : 41DAE6C4	413BAE90	41ACA5E0	
DEC 70 : 27.362679	11.730118	21.580994	
HEX 71 : 41CD3AF3	414B8A93	41B61253	
DEC 71 : 25.653784	12.721332	22.758947	
HEX 72 : 41CF138F	4180A284	4197F61E	
DEC 72 : 25.884550	16.079353	18.995174	
HEX 73 : 41DF1268	412876A5	4190CDD6	
DEC 73 : 27.883987	10.528966	18.100506	
HEX 74 : 41FECB8E	4155CE14	41AF6731	
DEC 74 : 31.849392	13.362812	21.925386	
HEX 75 : 41EE7382	4168B440	41B25DFC	
DEC 75 : 29.806400	14.544006	22.295891	
HEX 76 : 41DED39A	410F91F5	41C2BCA3	
DEC 76 : 27.853321	8.973134	24.342108	
HEX 77 : 41DDF485	412D4E51	41C89571	
DEC 77 : 27.744394	10.831620	25.072969	
HEX 78 : 41FA44DE	412AB21A	418A172B	
DEC 78 : 31.283627	10.668482	17.261312	
HEX 79 : 41D42184	4117A8ED	41A80644	
DEC 79 : 26.516365	9.478742	21.003059	
HEX 80 : 41E36EED	415628B0	41A3416A	
