Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
DEC 62 : 30.728411	1.381071	11.674086	
HEX 63 : 4201A8F6	4097A29A	4179C027	
DEC 63 : 32.415001	4.738599	15.609412	
HEX 64 : 41F8FA95	40E202CB	417B5061	
DEC 64 : 31.122355	7.062841	15.707124	
HEX 65 : 42026084	3AC069E8	415F7A76	
DEC 65 : 32.594254	0.001468	13.967398	
HEX 66 : 41D068F2	40382FB2	41343A0B	
DEC 66 : 26.051243	2.877911	11.264171	
HEX 67 : 41E2A5A3	3AC0AD04	411DCB8B	
DEC 67 : 28.330877	0.001470	9.862193	
HEX 68 : 4200B68D	405F49F1	41108300	
DEC 68 : 32.178272	3.488888	9.031982	
HEX 69 : 4200A54F	3AC17657	41377624	
DEC 69 : 32.161434	0.001476	11.466343	
HEX 70 : 4203187D	3FD152E3	414B2D0D	
DEC 70 : 32.773914	1.635342	12.698499	
HEX 71 : 41D422F4	40E3E777	4128E5DF	
DEC 71 : 26.517067	7.122005	10.556121	
HEX 72 : 41EBE9D0	40971E21	41479890	
DEC 72 : 29.489166	4.722428	12.474747	
HEX 73 : 41D49256	40AFC7BD	41102916	
DEC 73 : 26.571453	5.493132	9.010031	
HEX 74 : 41F8B100	40CC9620	4154F3A7	
DEC 74 : 31.086426	6.393326	13.309485	
HEX 75 : 41E4D9C1	3AC0CE92	417DE794	
DEC 75 : 28.606325	0.001471	15.869038	
HEX 76 : 41E7EBCF	3FD6D717	412BB0F2	
DEC 76 : 28.990141	1.678439	10.730700	
HEX 77 : 41DEA593	3FACCAA3	41454B6E	
DEC 77 : 27.830847	1.349934	12.330915	
HEX 78 : 41CED39F	3FB605EE	4149F019	
DEC 78 : 25.853331	1.422056	12.621118	
HEX 79 : 41F3719B	3F3772F7	41777BA3	
DEC 79 : 30.430471	0.716598	15.467685	
HEX 80 : 41DFB88B	40E98636	413ECA8C	
DEC 80 : 27.965109	7.297633	11.924450	
HEX 81 : 41F0302C	3FAD30BE	410A6A30	
DEC 81 : 30.023521	1.353050	8.650925	
HEX 82 : 41FD4C35	40D95A42	4136FA8C	
DEC 82 : 31.662210	6.792268	11.436169	
HEX 83 : 41F1C99B	4007DB0E	4186FF9C	
DEC 83 : 30.223440	2.122745	16.874809	
HEX 84 : 41F641DF	3AB7A1C2	4151EFCC	
DEC 84 : 30.782164	0.001401	13.121044	
HEX 85 : 41FD9789	4090D8D8	415AEE0A	
DEC 85 : 31.698992	4.526470	13.683115	
HEX 86 : 420001DB	3F7D562A	411BC224	
DEC 86 : 32.001812	0.989596	9.734898	
HEX 87 : 41D41D03	3F778822	4180886D	
DEC 87 : 26.514166	0.966921	16.066614	
HEX 88 : 41ED1A22	40875745	4124D914	
DEC 88 : 29.637760	4.229403	10.302998	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
