Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 63 : 418588C9	41860434	41FDB542	
DEC 63 : 16.691790	16.752052	31.713505	
HEX 64 : 4177F371	41238280	42045407	
DEC 64 : 15.496934	10.219360	33.082058	
HEX 65 : 412C180A	416F7F8A	41E8CAFC	
DEC 65 : 10.755869	14.968637	29.099113	
HEX 66 : 411EBA7F	413D2EEB	41DBFD2A	
DEC 66 : 9.920531	11.823955	27.498615	
HEX 67 : 417A5E27	412384A8	41CF3339	
DEC 67 : 15.647986	10.219887	25.900011	
HEX 68 : 4171E636	41871CED	41CF3DEA	
DEC 68 : 15.118704	16.889124	25.905231	
HEX 69 : 4111B227	4180660A	41E62702	
DEC 69 : 9.105994	16.049824	28.769047	
HEX 70 : 416A8738	416227C1	41EACC1E	
DEC 70 : 14.658012	14.134706	29.349667	
HEX 71 : 411BD67E	41411EC5	420713FB	
DEC 71 : 9.739866	12.070012	33.769512	
HEX 72 : 41395552	41685B4E	41F6F331	
DEC 72 : 11.583330	14.522291	30.868746	
HEX 73 : 412385EC	416F3FDC	41D938D2	
DEC 73 : 10.220196	14.953091	27.152744	
HEX 74 : 417AA1ED	417724A8	41F4CC92	
DEC 74 : 15.664533	15.446449	30.599888	
HEX 75 : 411E92C7	412C110F	41FD0E8F	
DEC 75 : 9.910834	10.754165	31.632109	
HEX 76 : 4187471F	416389A0	41ED0286	
DEC 76 : 16.909727	14.221100	29.626232	
HEX 77 : 4128396B	414A73C1	41FE70B5	
DEC 77 : 10.514018	12.653260	31.805033	
HEX 78 : 410852EA	414BB21B	41FD5490	
DEC 78 : 8.520243	12.730983	31.666290	
HEX 79 : 41537963	413EF76B	41E9D305	
DEC 79 : 13.217135	11.935405	29.228037	
HEX 80 : 415BE36D	4121981B	41D882EA	
DEC 80 : 13.743024	10.099635	27.063923	
HEX 81 : 41690C6A	413D75CB	41DCD778	
DEC 81 : 14.565531	11.841258	27.605209	
HEX 82 : 4152C24D	411FBA22	41ED51F9	
DEC 82 : 13.172437	9.982943	29.665026	
HEX 83 : 414BD677	416C5577	41EA0C8B	
DEC 83 : 12.739860	14.770865	29.256124	
HEX 84 : 41388277	414C1C42	41EF6973	
DEC 84 : 11.531852	12.756899	29.926489	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
