Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
DEC 63 : 13.753773	14.656800	20.034908	
HEX 64 : 412DE42F	4173D2BD	41B668D6	
DEC 64 : 10.868209	15.238950	22.801189	
HEX 65 : 4133E33C	417D207D	418BAEF8	
DEC 65 : 11.242977	15.820432	17.460434	
HEX 66 : 41565DC5	4176A611	41AFBF81	
DEC 66 : 13.397893	15.415544	21.968508	
HEX 67 : 414870EA	4145FF66	41C50EC6	
DEC 67 : 12.527567	12.374853	24.632214	
HEX 68 : 413D5FA6	4139B3B0	418E88EF	
DEC 68 : 11.835852	11.606369	17.816862	
HEX 69 : 41144AAE	4147FAF3	41C1263E	
DEC 69 : 9.268232	12.498767	24.143673	
HEX 70 : 415BD546	412E6B16	41C9DA3F	
DEC 70 : 13.739569	10.901144	25.231565	
HEX 71 : 413227C3	413B5A1B	41BAE258	
DEC 71 : 11.134707	11.709498	23.360519	
HEX 72 : 4172B6A8	41194C27	4189427A	
DEC 72 : 15.169594	9.581092	17.157459	
HEX 73 : 4108CA24	414F8503	41A87AB0	
DEC 73 : 8.549351	12.969974	21.059906	
HEX 74 : 4166911B	415929A7	41B0BD28	
DEC 74 : 14.410426	13.572669	22.092361	
HEX 75 : 4178B800	417307DF	41B6066C	
DEC 75 : 15.544922	15.189422	22.753136	
HEX 76 : 4185DE1D	41815DE5	41C68782	
DEC 76 : 16.733454	16.170847	24.816166	
HEX 77 : 416E33E8	41402C4B	41BD5ACE	
DEC 77 : 14.887672	12.010814	23.669338	
HEX 78 : 410CBF4B	412FEEB2	419FBD88	
DEC 78 : 8.796702	10.995775	19.967545	
HEX 79 : 4183723F	4117CAF8	41BA74BF	
DEC 79 : 16.430784	9.487053	23.307005	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
