Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 64 : 410BF576	410A20FE	411D0F2F	
DEC 64 : 8.747427	8.633055	9.816207	
HEX 65 : 4173865D	41696190	416620B6	
DEC 65 : 15.220304	14.586319	14.382986	
HEX 66 : 411EF92E	41152073	4184FBCD	
DEC 66 : 9.935835	9.320422	16.622950	
HEX 67 : 413F0679	41404560	4169A4A2	
DEC 67 : 11.939080	12.016937	14.602694	
HEX 68 : 411C7676	4132E839	411EA71F	
DEC 68 : 9.778921	11.181695	9.915801	
HEX 69 : 415E51CF	41821595	414F2614	
DEC 69 : 13.894973	16.260538	12.946796	
HEX 70 : 413E0649	415DEC37	41549628	
DEC 70 : 11.876534	13.870170	13.286659	
HEX 71 : 4184A9EC	414BDF70	41625DDC	
DEC 71 : 16.582970	12.742050	14.147915	
HEX 72 : 41798DA2	413C5DCB	41869F59	
DEC 72 : 15.597078	11.772899	16.827806	
HEX 73 : 41821463	41557C5D	41444922	
DEC 73 : 16.259954	13.342862	12.267855	
HEX 74 : 417F65A3	415807E0	417E4097	
DEC 74 : 15.962314	13.501923	15.890769	
HEX 75 : 4157251D	4182E5C4	412ABD5B	
DEC 75 : 13.446561	16.362190	10.671229	
HEX 76 : 4147E262	412E8C13	414FB853	
DEC 76 : 12.492769	10.909198	12.982501	
HEX 77 : 4135BC75	417DF912	41756F87	
DEC 77 : 11.358510	15.873308	15.339728	
HEX 78 : 4150D436	416FB444	4167B630	
DEC 78 : 13.051809	14.981510	14.481979	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
