Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 61 : 41FBD71C	41F358E6	3A45EB31	
DEC 61 : 31.480034	30.418407	0.000755	
HEX 62 : 4202FFCC	4204CD22	40F65771	
DEC 62 : 32.749802	33.200325	7.698174	
HEX 63 : 4204268D	41F01232	410579C9	
DEC 63 : 33.037647	30.008884	8.342233	
HEX 64 : 42067270	41D1AF1E	3F2DCC64	
DEC 64 : 33.611755	26.210506	0.678900	
HEX 65 : 41FA6F9E	420344E2	3BBD017E	
DEC 65 : 31.304501	32.817268	0.005768	
HEX 66 : 41FEE46A	42062C38	40BE0F43	
DEC 66 : 31.861530	33.543182	5.939363	
HEX 67 : 4206E0DA	42037C72	40B41E52	
DEC 67 : 33.719582	32.871529	5.628701	
HEX 68 : 41FA32EC	42015183	408EC77E	
DEC 68 : 31.274864	32.329601	4.461852	
HEX 69 : 41F867BC	4201CF1F	41071276	
DEC 69 : 31.050652	32.452267	8.442007	
HEX 70 : 41FC26F9	41E2C112	3E38893B	
DEC 70 : 31.519030	28.344273	0.180211	
HEX 71 : 41DEBACC	41E4A116	4093C763	
DEC 71 : 27.841209	28.578655	4.618089	
HEX 72 : 41F11C5A	41CD15C7	40C2170D	
DEC 72 : 30.138844	25.635633	6.065314	
HEX 73 : 41E6290F	41F709B1	3FDF2021	
DEC 73 : 28.770048	30.879732	1.743168	
HEX 74 : 41F99BBA	41F1308D	404F0410	
DEC 74 : 31.201038	30.148706	3.234623	
HEX 75 : 420796BF	41DFE4F1	40B1FA78	
DEC 75 : 33.897213	27.986788	5.561825	
HEX 76 : 41FD3041	41D1D19D	3FDA61D8	
DEC 76 : 31.648561	26.227350	1.706111	
HEX 77 : 42038A59	41F9C12F	40D7A3C2	
DEC 77 : 32.885105	31.219328	6.738740	
HEX 78 : 41F6DF84	41E4B106	409B1D30	
DEC 78 : 30.859138	28.586437	4.847313	
HEX 79 : 41D7BACD	41D6757A	4089D16C	
DEC 79 : 26.966211	26.807362	4.306814	
HEX 80 : 41F4D9CA	41FCE66E	3FB880BF	
DEC 80 : 30.606342	31.612514	1.441429	
HEX 81 : 41FF6EAD	41D74CC5	4093BC4B	
DEC 81 : 31.929041	26.912485	4.616735	
HEX 82 : 420141BE	41ECCD15	3FCFDB55	
DEC 82 : 32.314201	29.600138	1.623881	
HEX 83 : 41D66678	4200FE21	40A4D9CB	
DEC 83 : 26.800034	32.248173	5.151586	
HEX 84 : 42051AF1	41DD77A0	40EE0996	
DEC 84 : 33.276310	27.683411	7.438670	
HEX 85 : 41D64BCC	41E29A5A	403AB5C4	
DEC 85 : 26.787010	28.325367	2.917344	
HEX 86 : 4202CBB3	41FA75F2	4025DEEC	
DEC 86 : 32.698925	31.307590	2.591731	
HEX 87 : 41F6478B	42051F5C	403168D7	
DEC 87 : 30.784933	33.280624	2.772024	
HEX 88 : 4206FB59	41D88444	4072CAEF	
DEC 88 : 33.745457	27.064583	3.793636	
HEX 89 : 4204CDD7	4203FED4	406229A6	
DEC 89 : 33.201015	32.998856	3.533792	
HEX 90 : 41D17053	41D750B6	40C82DBC	
DEC 90 : 26.179846	26.914410	6.255583	
HEX 91 : 42002E31	41D16B10	40CF2366	
DEC 91 : 32.045109	26.177277	6.473071	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
