Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 62 : 4156B01D	3F1A2878	41FD9482	
DEC 62 : 13.417996	0.602180	31.697514	
HEX 63 : 41811439	4090A974	42016407	
DEC 63 : 16.134874	4.520685	32.347683	
HEX 64 : 41282F9A	40F2FBCC	41DCBF3D	
DEC 64 : 10.511621	7.593237	27.593378	
HEX 65 : 4147921D	409FF7E0	41FD4216	
DEC 65 : 12.473172	4.999008	31.657269	
HEX 66 : 413378A3	3ABC9CD4	41FA92EE	
DEC 66 : 11.216952	0.001439	31.321743	
HEX 67 : 4144C665	40343205	41E85A47	
DEC 67 : 12.298436	2.815553	29.044081	
HEX 68 : 4154F735	40FBE477	42016CBE	
DEC 68 : 13.310353	7.871639	32.356194	
HEX 69 : 410A8A96	40D77D54	41DB3EB0	
DEC 69 : 8.658834	6.734049	27.405609	
HEX 70 : 410D66C7	3AC154CA	41D08F1F	
DEC 70 : 8.837592	0.001475	26.069883	
HEX 71 : 410C3B97	40E8900E	41EE37D1	
DEC 71 : 8.764548	7.267585	29.777254	
HEX 72 : 4147E994	40F195C8	41D5B254	
DEC 72 : 12.494526	7.549534	26.712074	
HEX 73 : 41257A9E	3F9A0410	41EFD8E9	
DEC 73 : 10.342436	1.203249	29.980913	
HEX 74 : 412C034C	40F1E794	41EE59E3	
DEC 74 : 10.750805	7.559519	29.793890	
HEX 75 : 411B6C20	40A25CA3	41D85C13	
DEC 75 : 9.713898	5.073808	27.044958	
HEX 76 : 4153A279	408F312F	41DED303	
DEC 76 : 13.227166	4.474754	27.853033	
HEX 77 : 413D5398	40A253CC	41ED3A04	
DEC 77 : 11.832909	5.072729	29.653328	
HEX 78 : 416BB0D5	40A595E4	41D1B40D	
DEC 78 : 14.730672	5.174547	26.212915	
HEX 79 : 412B749D	40BB4A5A	42038081	
DEC 79 : 10.715970	5.852826	32.875492	
HEX 80 : 4130EA89	40785387	42021379	
DEC 80 : 11.057260	3.880098	32.519016	
HEX 81 : 4182044C	41058F92	4205C8ED	
DEC 81 : 16.252098	8.347551	33.446217	
HEX 82 : 415377A2	3F33C06E	41E2C416	
DEC 82 : 13.216707	0.702155	28.345745	
HEX 83 : 41111B04	41003238	4206ACDA	
DEC 83 : 9.069096	8.012260	33.668800	
HEX 84 : 412B1544	3FDCB65B	420139EE	
DEC 84 : 10.692692	1.724315	32.306572	
HEX 85 : 41589F86	40FCC76B	41F0F9C5	
DEC 85 : 13.538946	7.899343	30.121958	
HEX 86 : 4147DA67	3F0A58F7	41D1CF57	
DEC 86 : 12.490821	0.540420	26.226240	
HEX 87 : 417A368B	3FAC6213	42077D96	
DEC 87 : 15.638316	1.346743	33.872643	
HEX 88 : 4113465A	4105A297	41D15260	
DEC 88 : 9.204676	8.352195	26.165222	
HEX 89 : 416CC0EE	40E05953	420706C2	
DEC 89 : 14.797102	7.010904	33.756599	
HEX 90 : 4156942D	406E3416	41F37EF6	
DEC 90 : 13.411176	3.721929	30.436993	
HEX 91 : 4143922A	3AC0F020	4204F7E6	
DEC 91 : 12.223185	0.001472	33.242088	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
