Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 61 : 41ACB6B8	404ABE73	41F0F06E	
DEC 61 : 21.589218	3.167874	30.117397	
HEX 62 : 41B2EF62	40DE7CD9	41F77742	
DEC 62 : 22.366886	6.952740	30.933231	
HEX 63 : 41912072	3F934A77	420162AB	
DEC 63 : 18.140842	1.150710	32.346355	
HEX 64 : 418B2980	3AC1333C	41F71D25	
DEC 64 : 17.395264	0.001474	30.889231	
HEX 65 : 419B035F	3E547D3D	41F88D66	
DEC 65 : 19.376646	0.207509	31.069042	
HEX 66 : 4199D0F8	40A73CAE	41E82F6D	
DEC 66 : 19.227036	5.226157	29.023157	
HEX 67 : 418AC821	4089AE49	4207B115	
DEC 67 : 17.347719	4.302525	33.922932	
HEX 68 : 41A638A1	4013DEE3	41D6B5CA	
DEC 68 : 20.777651	2.310479	26.838764	
HEX 69 : 41A4B37C	40DDE9F0	41EFF14F	
DEC 69 : 20.587639	6.934807	29.992826	
HEX 70 : 41C0A4BD	3C04EC63	41F5FA4A	
DEC 70 : 24.080439	0.008113	30.747211	
HEX 71 : 418CEE6F	40CB88D5	41EAF29B	
DEC 71 : 17.616423	6.360453	29.368460	
HEX 72 : 41B7879C	40782AB7	41FCED0A	
DEC 72 : 22.941216	3.877607	31.615742	
HEX 73 : 41977B71	3FEE4431	41DBCB89	
DEC 73 : 18.935274	1.861456	27.474382	
HEX 74 : 41A2BD26	40B88DBB	4207FE31	
DEC 74 : 20.342358	5.767301	33.998234	
HEX 75 : 41A7CE00	40D68254	42016488	
DEC 75 : 20.975586	6.703409	32.348175	
HEX 76 : 41A7E385	40A69F66	41E092C4	
DEC 76 : 20.986094	5.206958	28.071663	
HEX 77 : 41B60B96	40FD195F	41D098BB	
DEC 77 : 22.755657	7.909347	26.074575	
HEX 78 : 419B5BF2	408591F1	41D7E207	
DEC 78 : 19.419895	4.174065	26.985365	
HEX 79 : 41883FCE	4074AD10	41D89352	
DEC 79 : 17.031155	3.823063	27.071934	
HEX 80 : 4192C0F4	4039F6E0	41CEFE98	
DEC 80 : 18.344215	2.905693	25.874313	
HEX 81 : 41C40DA8	40E63EB8	41D5FD52	
DEC 81 : 24.506668	7.195156	26.748692	
HEX 82 : 41BF9A7B	40C48E93	41F0270A	
DEC 82 : 23.950430	6.142404	30.019062	
HEX 83 : 4190C20C	40F79948	4203DB50	
DEC 83 : 18.094749	7.737461	32.964172	
HEX 84 : 41A0EBA8	3FEDA15E	41FF6A22	
DEC 84 : 20.115067	1.856487	31.926823	
HEX 85 : 4192CF82	407639A4	41FF7323	
DEC 85 : 18.351322	3.847268	31.931219	
HEX 86 : 418FD436	401346FE	41F5BF69	
DEC 86 : 17.978619	2.301208	30.718462	
HEX 87 : 41CB8415	3EAFD8AE	41D5A237	
DEC 87 : 25.439493	0.343450	26.704206	
HEX 88 : 41C98D5C	4046B285	41CFF0D4	
DEC 88 : 25.194023	3.104646	25.992592	
HEX 89 : 4189A6B0	408E7A76	41EE726F	
DEC 89 : 17.206390	4.452449	29.805876	
HEX 90 : 41C9E185	3FB4D35B	42076C60	
DEC 90 : 25.235117	1.412700	33.855835	
HEX 91 : 41A74777	3F70E193	42073793	
DEC 91 : 20.909895	0.940942	33.804272	
HEX 92 : 4190742A	40F341D9	41D540E1	
DEC 92 : 18.056721	7.601788	26.656679	
HEX 93 : 41905845	3F727E20	41CC6499	
DEC 93 : 18.043100	0.947237	25.549120	
HEX 94 : 41A55E03	3ABD6627	41EC775D	
DEC 94 : 20.670904	0.001445	29.558283	
HEX 95 : 4199388F	3AC0CE92	4206883B	
DEC 95 : 19.152617	0.001471	33.633038	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
