Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 61 : 40273D57	41F27DE6	40629CD4	
DEC 61 : 2.613119	30.311474	3.540822	
HEX 62 : 40D73AF3	41F27521	40FA62C5	
DEC 62 : 6.725946	30.307192	7.824557	
HEX 63 : 407C8191	41CD359B	40263FFB	
DEC 63 : 3.945408	25.651175	2.597655	
HEX 64 : 3FBE7B91	4207253B	407433A9	
DEC 64 : 1.488146	33.786358	3.815653	
HEX 65 : 409BE5C1	42041244	40D2C64C	
DEC 65 : 4.871796	33.017838	6.586706	
HEX 66 : 3FD7734B	41ED9CCE	40A68002	
DEC 66 : 1.683206	29.701565	5.203126	
HEX 67 : 3BCAE643	41FFAC6C	4083AD2A	
DEC 67 : 0.006192	31.959190	4.114888	
HEX 68 : 3FD477BC	41E20A67	3A4C35CE	
DEC 68 : 1.659904	28.255079	0.000779	
HEX 69 : 40BDA9E5	42021404	4099ADB0	
DEC 69 : 5.926989	32.519547	4.802452	
HEX 70 : 3D7B6FE3	41F2FA66	403987A0	
DEC 70 : 0.061386	30.372265	2.898903	
HEX 71 : 40F1D233	41CD7EE5	40599B17	
DEC 71 : 7.556909	25.686960	3.400091	
HEX 72 : 4106E5C9	41E7EE8A	3FF7A533	
DEC 72 : 8.431100	28.991474	1.934729	
HEX 73 : 41022D50	41EC1CEB	4075EC68	
DEC 73 : 8.136063	29.514120	3.842554	
HEX 74 : 40D9C1E8	42027F7B	403D964F	
DEC 74 : 6.804920	32.624493	2.962299	
HEX 75 : 4007532A	41CDF333	40BAB95C	
DEC 75 : 2.114451	25.743750	5.835127	
HEX 76 : 40A9EF69	4201355F	3FCA97D0	
DEC 76 : 5.310475	32.302120	1.582758	
HEX 77 : 40B3BD2B	41D0D671	3A4C35CE	
DEC 77 : 5.616842	26.104708	0.000779	
HEX 78 : 3FC1A2C6	41F656D7	40E87BC8	
DEC 78 : 1.512780	30.792402	7.265110	
HEX 79 : 40BD2179	41CED54C	40078152	
DEC 79 : 5.910336	25.854149	2.117268	
HEX 80 : 40D02412	420022D6	3A4C35CE	
DEC 80 : 6.504403	32.034019	0.000779	
