Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 41B7CF1D	41F44F87	418E9BE8	
DEC 61 : 17.506195	33.232178	22.522779	
HEX 62 : 41C7EF95	41F10658	41BC6086	
DEC 62 : 24.991983	30.128098	23.547131	
HEX 63 : 41B79C46	42063F41	41B3EA9B	
DEC 63 : 22.951305	33.561771	22.489553	
HEX 64 : 41B89481	4203FEB3	41C7B2EC	
DEC 64 : 23.072512	32.998730	24.962364	
HEX 65 : 41AB0DFB	41D0AA6E	41C9AA7A	
DEC 65 : 21.381826	26.083218	25.208241	
HEX 66 : 41C7BE43	41E4CD58	41B20DC5	
DEC 66 : 24.967901	28.600266	22.256723	
HEX 67 : 41C71B97	41DA1286	41CBCA16	
DEC 67 : 24.888472	27.259045	25.473675	
HEX 68 : 419AEB52	41ED7D96	419144D3	
DEC 68 : 19.364902	29.686321	18.158606	
HEX 69 : 41AA8D82	41F7AE07	4196E928	
DEC 69 : 21.319096	30.959974	18.863846	
HEX 70 : 41A66388	41DDF99D	41A0E6B3	
DEC 70 : 20.798599	27.746881	20.112646	
HEX 71 : 41ADD3CA	41F6B2AD	41B0C2A4	
DEC 71 : 21.728413	30.837244	22.095039	
HEX 72 : 4193DC7F	41FE5E77	41BC1E5A	
DEC 72 : 18.482664	31.796125	23.514820	
HEX 73 : 41A9E753	41E7E1FD	41947467	
DEC 73 : 21.237951	28.985346	18.556837	
HEX 74 : 419BD71A	4203A9BE	419321CC	
DEC 74 : 19.480030	32.915764	18.391502	
HEX 75 : 41B63F3F	4203E425	41A111D1	
DEC 75 : 22.780882	32.972797	20.133699	
HEX 76 : 41C5728A	42001CD3	41C0B530	
DEC 76 : 24.680927	32.028149	24.088470	
HEX 77 : 41C3FA3C	41D719B2	41B96863	
DEC 77 : 24.497185	26.887547	23.175970	
HEX 78 : 41BD4603	41E5DC64	41C094F1	
DEC 78 : 23.659185	28.732613	24.072725	
HEX 79 : 41AAC244	41EDD910	41A3C9ED	
DEC 79 : 21.344856	29.730988	20.473597	
HEX 80 : 4191F865	41D0337D	41907256	
DEC 80 : 18.246286	26.025141	18.055828	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
