Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 62 : 419939AF	4188406C	40C635F4	
DEC 62 : 19.153166	17.031456	6.194086	
HEX 63 : 4188411C	41C4FC29	40831173	
DEC 63 : 17.031792	24.623125	4.095880	
HEX 64 : 419AA740	4197CA5A	3A4C35CE	
DEC 64 : 19.331665	18.973804	0.000779	
HEX 65 : 4188FBD2	4192535B	3A4C78EA	
DEC 65 : 17.122959	18.290701	0.000780	
HEX 66 : 41AD70DF	41A08E8D	3A4C35CE	
DEC 66 : 21.680113	20.069605	0.000779	
HEX 67 : 41B11210	418E1053	3FAE3654	
DEC 67 : 22.133820	17.757971	1.361033	
HEX 68 : 41887F91	41B5105F	406BAE43	
DEC 68 : 17.062288	22.632994	3.682511	
HEX 69 : 4194F651	418A808D	3F656ABE	
DEC 69 : 18.620272	17.312769	0.896160	
HEX 70 : 41957DAA	41BDC745	40988E69	
DEC 70 : 18.686359	23.722300	4.767384	
HEX 71 : 41C75171	41BE94E5	40D2A2A9	
DEC 71 : 24.914766	23.822702	6.582356	
HEX 72 : 41B9624F	41B8A403	4090AD47	
DEC 72 : 23.173002	23.080084	4.521152	
HEX 73 : 4192AE19	41BBF1A2	40E01757	
DEC 73 : 18.335009	23.492985	7.002849	
HEX 74 : 419A380A	41CA612F	40FE23A7	
DEC 74 : 19.277363	25.297453	7.941852	
HEX 75 : 419AD658	419137B5	40FAD315	
DEC 75 : 19.354660	18.152201	7.838267	
HEX 76 : 41AB2A3A	41B7F23E	40ADE3AC	
DEC 76 : 21.395618	22.993282	5.434042	
HEX 77 : 4197665C	418871D3	4086A223	
DEC 77 : 18.924980	17.055578	4.207292	
HEX 78 : 41A6F937	41C25772	40DF5ADC	
DEC 78 : 20.871687	24.292698	6.979841	
HEX 79 : 41979415	41978963	4017BC38	
DEC 79 : 18.947306	18.942083	2.370863	
HEX 80 : 41C54BCE	419E061E	40EB09B3	
DEC 80 : 24.662014	19.752987	7.344934	
HEX 81 : 41C4E772	41B1237D	3F809F30	
DEC 81 : 24.613010	22.142328	1.004858	
HEX 82 : 419F337F	41B1F22F	4085EBB7	
DEC 82 : 19.900145	22.243254	4.185024	
HEX 83 : 41BC566C	41BC015E	3A3FE3B0	
DEC 83 : 23.542198	23.500668	0.000732	
HEX 84 : 41B7B673	419D0755	41064FD4	
DEC 84 : 22.964087	19.628580	8.394489	
HEX 85 : 41A76FD0	41A304AF	40586163	
DEC 85 : 20.929596	20.377287	3.380944	
HEX 86 : 41A3984D	41B87781	3FEC49FD	
DEC 86 : 20.449366	23.058352	1.846008	
HEX 87 : 41C80A78	41A4F15E	400F45F6	
DEC 87 : 25.005112	20.617855	2.238645	
HEX 88 : 4188FCCB	41A5E31E	408B3C8E	
DEC 88 : 17.123434	20.735897	4.351142	
HEX 89 : 41B77170	418E5E40	40BB9440	
DEC 89 : 22.930389	17.796021	5.861847	
HEX 90 : 41BF9955	41C7D938	409E14D5	
DEC 90 : 23.949869	24.981064	4.940043	
HEX 91 : 418B97B8	41C98182	40CD65D2	
DEC 91 : 17.449081	25.188236	6.418679	
HEX 92 : 41A4A579	41C1BCDC	407396AF	
DEC 92 : 20.580797	24.217216	3.806072	
HEX 93 : 41C5FA4C	41C42D78	3F9D16B1	
DEC 93 : 24.747215	24.522202	1.227255	
HEX 94 : 41C4D976	41ABFEF8	407F4AD3	
DEC 94 : 24.606182	21.499496	3.988942	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
