Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 62 : 40D17AD3	401985B2	412E34D2	
DEC 62 : 6.546243	2.398785	10.887896	
HEX 63 : 3FDF1C97	4101C889	4145EDF5	
DEC 63 : 1.743060	8.111459	12.370595	
HEX 64 : 40DDCFEC	3AC111AE	4159686C	
DEC 64 : 6.931631	0.001473	13.587994	
HEX 65 : 3BC9EA9A	3FFAB389	410BABBD	
DEC 65 : 0.006162	1.958604	8.729428	
HEX 66 : 41038F62	4094B4EC	416766C2	
DEC 66 : 8.222506	4.647085	14.462587	
HEX 67 : 408BFAC0	3FE44AAE	415B8590	
DEC 67 : 4.374359	1.783529	13.720108	
HEX 68 : 40E99FCF	3FF765BA	4181E0CA	
DEC 68 : 7.300758	1.932792	16.234760	
HEX 69 : 40F849DE	40BEFAE8	41243CA6	
DEC 69 : 7.759017	5.968128	10.264807	
HEX 70 : 408383FB	4106DA86	411FBCFB	
DEC 70 : 4.109861	8.428350	9.983638	
HEX 71 : 41016668	40751C43	41288985	
DEC 71 : 8.087502	3.829850	10.533574	
HEX 72 : 40BDCE57	40B6334E	411800AD	
DEC 72 : 5.931438	5.693763	9.500165	
HEX 73 : 40952A86	40131351	417CD867	
DEC 73 : 4.661441	2.298054	15.802833	
HEX 74 : 40DE5C8E	40D8D3FE	416DD6E8	
DEC 74 : 6.948798	6.775878	14.864967	
HEX 75 : 3BCA9AC3	3FB998A6	416E698F	
DEC 75 : 0.006183	1.449971	14.900771	
HEX 76 : 3F170425	3FB68851	414FCEF7	
DEC 76 : 0.589907	1.426035	12.988029	
HEX 77 : 3FEBD45A	4104FF2C	417DB366	
DEC 77 : 1.842418	8.312298	15.856298	
HEX 78 : 40D6C094	40A268A3	41817168	
DEC 78 : 6.711008	5.075273	16.180374	
HEX 79 : 3FD4D595	40C99416	417AA9C1	
DEC 79 : 1.662768	6.299327	15.666444	
HEX 80 : 40F7BDBC	4107000D	417A5579	
DEC 80 : 7.741911	8.437512	15.645867	
HEX 81 : 40D7D504	41074ED6	415A837D	
DEC 81 : 6.744753	8.456747	13.657102	
HEX 82 : 3EB50614	400B6ED6	4185D849	
DEC 82 : 0.353562	2.178640	16.730608	
HEX 83 : 40D7B569	405B9DF1	41708DC2	
DEC 83 : 6.740895	3.431515	15.034609	
HEX 84 : 40F60827	3AC111AE	4113FCA9	
DEC 84 : 7.688495	0.001473	9.249185	
