Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 62 : 16.641666	25.479248	23.429279	
HEX 63 : 414C6CDB	418B85AC	4189927D	
DEC 63 : 12.776576	17.440269	17.196527	
HEX 64 : 4109EB5E	41AB6011	41ABEE51	
DEC 64 : 8.619963	21.421907	21.491365	
HEX 65 : 4129A87D	418F479C	41B25DC3	
DEC 65 : 10.603635	17.909966	22.295782	
HEX 66 : 411C4FB2	418E08E8	41923E3D	
DEC 66 : 9.769457	17.754349	18.280390	
HEX 67 : 4172F98F	41B86E63	41BC8E01	
DEC 67 : 15.185927	23.053900	23.569338	
HEX 68 : 4140B45F	419C33CF	41B3CCBF	
DEC 68 : 12.044036	19.525297	22.474974	
HEX 69 : 413AC6A0	41C556B5	418E326E	
DEC 69 : 11.673492	24.667337	17.774624	
HEX 70 : 41851BF7	41C29728	41AC92FD	
DEC 70 : 16.638655	24.323807	21.571772	
HEX 71 : 413B5D9C	41942697	41A58008	
DEC 71 : 11.710354	18.518843	20.687515	
HEX 72 : 4152FA0D	41A788FE	4190F467	
DEC 72 : 13.186048	20.941891	18.119337	
HEX 73 : 4146449F	419FB465	41C3A40A	
DEC 73 : 12.391753	19.963083	24.455097	
HEX 74 : 4184D8B4	41ABCF85	41BA46AD	
DEC 74 : 16.605812	21.476328	23.284510	
HEX 75 : 416F3351	419EA020	419801C3	
DEC 75 : 14.950028	19.828186	19.000860	
HEX 76 : 411E752B	418C9212	41A2E719	
DEC 76 : 9.903605	17.571323	20.362841	
HEX 77 : 4177EF77	419F86D7	41AA56A0	
DEC 77 : 15.495963	19.940840	21.292297	
HEX 78 : 41843FE7	418D300B	419784C2	
DEC 78 : 16.531202	17.648458	18.939823	
HEX 79 : 416690C3	418F9AB5	4193D636	
DEC 79 : 14.410342	17.950541	18.479595	
HEX 80 : 4166F90D	41C4E526	41AFF511	
DEC 80 : 14.435803	24.611889	21.994661	
HEX 81 : 416E0ACA	41C71B64	419ECB8F	
DEC 81 : 14.877634	24.888374	19.849394	
HEX 82 : 4116ADDB	41B61254	41B6064B	
DEC 82 : 9.417445	22.758949	22.753073	
HEX 83 : 413F63F5	41A7CD60	419ECBFD	
DEC 83 : 11.961904	20.975281	19.849604	
HEX 84 : 412ECAC5	419517AF	41C6020A	
DEC 84 : 10.924504	18.636564	24.750996	
HEX 85 : 41610EF9	41979354	41B667D2	
DEC 85 : 14.066155	18.946938	22.800694	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
