Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 62 : 3F9B1FA3	41BFFAB2	414BCA47	
DEC 62 : 1.211903	23.997410	12.736884	
HEX 63 : 408E0868	41B72203	41229CBA	
DEC 63 : 4.438526	22.891607	10.163263	
HEX 64 : 40213C8E	41A04AEA	4184456C	
DEC 64 : 2.519321	20.036579	16.533897	
HEX 65 : 408BFCC4	41C3947A	4143C603	
DEC 65 : 4.374605	24.447498	12.235843	
HEX 66 : 408F6723	41B4B57A	41630B58	
DEC 66 : 4.481340	22.588612	14.190269	
HEX 67 : 3F72A359	41AEA25A	417F0384	
DEC 67 : 0.947805	21.829273	15.938358	
HEX 68 : 40BF1F43	419D7521	415D3BD2	
DEC 68 : 5.972566	19.682192	13.827105	
HEX 69 : 3F8262B2	41A488C1	410C0B71	
DEC 69 : 1.018637	20.566774	8.752793	
HEX 70 : 3FEE6F48	41919075	4187D911	
DEC 70 : 1.862771	18.195536	16.980989	
HEX 71 : 4106BB37	419F6F92	417F2999	
DEC 71 : 8.420707	19.929478	15.947656	
HEX 72 : 40A1806B	41C386B3	416C7B99	
DEC 72 : 5.046926	24.440771	14.780175	
HEX 73 : 3BCA57A8	4199C2D6	415BE5E5	
DEC 73 : 0.006175	19.220135	13.743627	
HEX 74 : 3F230681	419C19BE	4180DCCB	
DEC 74 : 0.636818	19.512569	16.107809	
HEX 75 : 40C43E1B	41C448BD	410C5851	
DEC 75 : 6.132581	24.535517	8.771562	
HEX 76 : 408CC7EB	419A3E98	411928B3	
DEC 76 : 4.399404	19.280563	9.572436	
HEX 77 : 40FB1A24	41BC7179	41343939	
DEC 77 : 7.846941	23.555407	11.263970	
HEX 78 : 404786A5	41C038DF	41673F3F	
DEC 78 : 3.117593	24.027769	14.452941	
HEX 79 : 408D9AA2	4189ED45	41386CCE	
DEC 79 : 4.425126	17.240854	11.526564	
HEX 80 : 3EB32BDC	41A16F4B	413BE33B	
DEC 80 : 0.349944	20.179342	11.742976	
HEX 81 : 40FCFA92	41A13C24	416073CF	
DEC 81 : 7.905587	20.154366	14.028274	
HEX 82 : 40FEACF9	41AE07D4	4173A524	
DEC 82 : 7.958615	21.753822	15.227818	
HEX 83 : 40BBA0EC	41AA4CB5	41706B56	
DEC 83 : 5.863394	21.287455	15.026205	
HEX 84 : 3FBC940C	41A2D06C	4167F226	
DEC 84 : 1.473268	20.351768	14.496618	
HEX 85 : 3BCAF70A	41967D55	412533E5	
DEC 85 : 0.006194	18.811197	10.325170	
HEX 86 : 3F29273D	4191EE4E	4142082C	
DEC 86 : 0.660755	18.241360	12.126995	
HEX 87 : 409096C2	419FF886	418389F2	
DEC 87 : 4.518403	19.996349	16.442356	
HEX 88 : 40145C3E	41976F2C	4155F76F	
DEC 88 : 2.318130	18.929283	13.372909	
HEX 89 : 40C89861	41B29FC2	4134FDCF	
DEC 89 : 6.268601	22.328007	11.311965	
HEX 90 : 3BCAF70A	418FACB6	41084039	
DEC 90 : 0.006194	17.959332	8.515679	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
