Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 62 : 18.503195	15.851430	2.262507	
HEX 63 : 418F0E25	412559F6	3FE0E0C1	
DEC 63 : 17.881907	10.334463	1.756859	
HEX 64 : 41C6D8B5	415D2CD8	40C1C975	
DEC 64 : 24.855814	13.823448	6.055842	
HEX 65 : 41B6B4B1	41463C90	3FEF925C	
DEC 65 : 22.838228	12.389786	1.871654	
HEX 66 : 41A21102	415FCB69	3A4C35CE	
DEC 66 : 20.258305	13.987161	0.000779	
HEX 67 : 41AC8843	416922A4	40DBEED4	
DEC 67 : 21.566534	14.570957	6.872904	
HEX 68 : 41C91B63	4179A308	3FF7E660	
DEC 68 : 25.138372	15.602303	1.936718	
HEX 69 : 41CA5B34	415D3F87	4101AAF3	
DEC 69 : 25.294533	13.828010	8.104236	
HEX 70 : 41ABBE17	410AE263	40432BD4	
DEC 70 : 21.467817	8.680270	3.049550	
HEX 71 : 41988FA8	4122C590	40FABA7E	
DEC 71 : 19.070145	10.173233	7.835265	
HEX 72 : 41BF2976	416374BD	406DD812	
DEC 72 : 23.895245	14.216001	3.716313	
HEX 73 : 418B4630	417612C2	40C45526	
DEC 73 : 17.409271	15.379580	6.135394	
HEX 74 : 41AE718F	4185B96A	4042B8DC	
DEC 74 : 21.805449	16.715534	3.042533	
HEX 75 : 41CBC4B1	410D7820	40E0ED57	
DEC 75 : 25.471041	8.841827	7.028972	
HEX 76 : 41B29388	411723ED	3F2CFDA0	
DEC 76 : 22.322037	9.446271	0.675745	
HEX 77 : 4196994E	414AC9E2	3FC2E32E	
DEC 77 : 18.824856	12.674288	1.522558	
HEX 78 : 41C6F391	41523D7B	3A4B6C7A	
DEC 78 : 24.868929	13.140010	0.000776	
HEX 79 : 41B0EAA3	4147A290	40E571F8	
DEC 79 : 22.114569	12.477188	7.170162	
HEX 80 : 419ED5FD	4172A77A	40C0E022	
DEC 80 : 19.854486	15.165888	6.027360	
HEX 81 : 41B79F9E	41800FF5	40D83B49	
DEC 81 : 22.952938	16.007792	6.757237	
HEX 82 : 41968F83	415B09B8	40DC9D45	
DEC 82 : 18.820074	13.689873	6.894198	
HEX 83 : 41BF0D44	413DBD09	40C09BB7	
DEC 83 : 23.881477	11.858651	6.019008	
HEX 84 : 41C8D2A7	411D51B4	4055975F	
DEC 84 : 25.102858	9.832447	3.337364	
HEX 85 : 41A38CDF	41193357	3A4BF2B2	
DEC 85 : 20.443785	9.575034	0.000778	
86 : 0.000000	0.000000	0.000000	
