Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 97
HEX 61 : 40012D9D	406687EC	40338EDE	
DEC 61 : 2.018409	3.602046	2.805595	
HEX 62 : 404DBA13	409E55BF	3A4C35CE	
DEC 62 : 3.214482	4.947967	0.000779	
HEX 63 : 40E4B631	3F1A13B2	409180BB	
DEC 63 : 7.147240	0.601863	4.546964	
HEX 64 : 41008247	409CEF7C	404A68C2	
DEC 64 : 8.031806	4.904234	3.162644	
HEX 65 : 4052EDA6	4010A50D	40CBCF4A	
DEC 65 : 3.295755	2.260074	6.369054	
HEX 66 : 41001E53	3AC111AE	40C7FE5A	
DEC 66 : 8.007403	0.001473	6.249799	
HEX 67 : 40E6541E	40BFB0F0	3FDA3D68	
DEC 67 : 7.197768	5.990349	1.704999	
HEX 68 : 40761A1A	3ADB6A1F	402C4B5A	
DEC 68 : 3.845343	0.001674	2.692099	
HEX 69 : 4102E420	408385BC	40CCB385	
DEC 69 : 8.180695	4.110075	6.396914	
HEX 70 : 40D5D89B	3F9B15CF	4022A11B	
DEC 70 : 6.682691	1.211603	2.541083	
HEX 71 : 3EEAC322	3AC111AE	40845291	
DEC 71 : 0.458520	0.001473	4.135079	
HEX 72 : 3E97FE09	41022C55	407E7171	
DEC 72 : 0.296860	8.135823	3.975674	
HEX 73 : 40BCB37D	40D182B8	40F622A9	
DEC 73 : 5.896910	6.547207	7.691731	
HEX 74 : 40CAB6E9	3F93F0C3	41055D7A	
DEC 74 : 6.334828	1.155785	8.335321	
HEX 75 : 3FDB3C25	410167FC	41032C68	
DEC 75 : 1.712773	8.087887	8.198341	
HEX 76 : 40009757	40C2D786	41029E6F	
DEC 76 : 2.009237	6.088809	8.163680	
HEX 77 : 3FDB9514	3FF2475E	40A4DDD5	
DEC 77 : 1.715487	1.892803	5.152079	
HEX 78 : 3C2CD9E8	3B86CEBC	40CA2AB4	
DEC 78 : 0.010550	0.004114	6.317713	
HEX 79 : 3FEB0707	3AC111AE	4007161A	
DEC 79 : 1.836152	0.001473	2.110724	
HEX 80 : 40DC9E54	401627D9	40DA6743	
DEC 80 : 6.894327	2.346182	6.825105	
HEX 81 : 40F7B548	40A30E39	3A4D8559	
DEC 81 : 7.740879	5.095486	0.000784	
HEX 82 : 408ACC0C	40A2EEB5	4102CF39	
DEC 82 : 4.337408	5.091639	8.175591	
HEX 83 : 4090E860	404431BA	410103D5	
DEC 83 : 4.528366	3.065535	8.063436	
HEX 84 : 4103B139	3AC111AE	403A7E78	
DEC 84 : 8.230767	0.001473	2.913969	
HEX 85 : 4028ADF7	3FCE3EC9	3F2FE447	
DEC 85 : 2.635618	1.611291	0.687077	
HEX 86 : 40A7CD0A	40885497	3ED832FD	
DEC 86 : 5.243779	4.260326	0.422264	
HEX 87 : 3BCAB3EE	40FCD2C1	3FFF3CB4	
DEC 87 : 0.006186	7.900727	1.994040	
HEX 88 : 3F21C28F	3FF79967	404BC350	
DEC 88 : 0.631875	1.934369	3.183796	
HEX 89 : 3FD22EA9	3F64431C	40E1F4A5	
DEC 89 : 1.642049	0.891649	7.061114	
HEX 90 : 408D88A7	40BC4001	40C9483F	
DEC 90 : 4.422931	5.882813	6.290069	
HEX 91 : 3FF609E5	40806EE5	4103E46A	
DEC 91 : 1.922177	4.013537	8.243265	
HEX 92 : 40AED684	40D709A9	4094EA51	
DEC 92 : 5.463686	6.719929	4.653603	
HEX 93 : 40758DEF	40CD8BC4	402C0B8D	
DEC 93 : 3.836788	6.423311	2.688205	
HEX 94 : 4000F96E	4094F54B	40949451	
DEC 94 : 2.015224	4.654943	4.643105	
HEX 95 : 408E0B63	3FC25083	40769E23	
DEC 95 : 4.438890	1.518082	3.853402	
HEX 96 : 3F9B270B	40A4B3A7	3A49539C	
DEC 96 : 1.212129	5.146930	0.000768	
HEX 97 : 40ADA24F	4103B315	3D0752DB	
DEC 97 : 5.426063	8.231221	0.033038	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
