Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 62 : 4099D7E2	41776EDA	40342A6F	
DEC 62 : 4.807603	15.464563	2.815090	
HEX 63 : 3FD8F766	410C31C4	3F5BC0C2	
DEC 63 : 1.695050	8.762150	0.858410	
HEX 64 : 4094CFDD	41602DC5	40E2BDEA	
DEC 64 : 4.650374	14.011174	7.085683	
HEX 65 : 3BCAE643	4181C5F8	40BAC8BF	
DEC 65 : 0.006192	16.221664	5.837005	
HEX 66 : 4012F8BE	4167841F	3A4CBC06	
DEC 66 : 2.296432	14.469756	0.000781	
HEX 67 : 403062E9	412264B6	406E806F	
DEC 67 : 2.756037	10.149588	3.726589	
HEX 68 : 3BCD7492	4187F0C5	407D02B0	
DEC 68 : 0.006270	16.992563	3.953289	
HEX 69 : 3BCAB3EE	41623C6C	41007F14	
DEC 69 : 0.006186	14.139751	8.031025	
HEX 70 : 40E18440	417C4A0A	4030F716	
DEC 70 : 7.047394	15.768076	2.765081	
HEX 71 : 402F1E71	413603E7	4100F769	
DEC 71 : 2.736233	11.375953	8.060403	
HEX 72 : 41005600	41109193	3A4C35CE	
DEC 72 : 8.020996	9.035541	0.000779	
HEX 73 : 40FDF500	41472485	3F7D59B4	
DEC 73 : 7.936157	12.446416	0.989650	
HEX 74 : 3E9889E3	413B5AF9	4033B930	
DEC 74 : 0.297927	11.709710	2.808178	
HEX 75 : 3FC8F577	414F551C	4106DE6B	
DEC 75 : 1.569991	12.958279	8.429301	
HEX 76 : 3F90AD79	4128A74A	40E6B639	
DEC 76 : 1.130294	10.540842	7.209744	
HEX 77 : 40F787C2	41813B35	40F2F70E	
DEC 77 : 7.735322	16.153910	7.592658	
HEX 78 : 3F6B34D7	417269C1	408D4C59	
DEC 78 : 0.918775	15.150819	4.415570	
HEX 79 : 40BD3B13	410C8DD3	40964D6C	
DEC 79 : 5.913461	8.784625	4.696951	
HEX 80 : 40FEDE85	4162F42C	3A4CFF22	
DEC 80 : 7.964663	14.184612	0.000782	
HEX 81 : 40985C0C	411B9DF9	405712B2	
DEC 81 : 4.761236	9.726068	3.360516	
HEX 82 : 3FD5E34C	412C3884	3A40F020	
DEC 82 : 1.670999	10.763798	0.000736	
HEX 83 : 40E35B64	412CCE7F	3E5C6A3C	
DEC 83 : 7.104906	10.800414	0.215249	
HEX 84 : 408415FF	411F7DDB	3FBD510D	
DEC 84 : 4.127685	9.968226	1.479036	
HEX 85 : 409D3A11	41522EE1	40397FE5	
DEC 85 : 4.913338	13.136445	2.898431	
HEX 86 : 40B58EDA	41335A3D	41072EC1	
DEC 86 : 5.673688	11.209531	8.448915	
HEX 87 : 409606CF	4115F0ED	4100DF1F	
DEC 87 : 4.688331	9.371320	8.054473	
