Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 415D6ADC	3AC08B76	418A925B	
DEC 62 : 11.287472	3.593295	19.074986	
HEX 63 : 410B43FC	40AB893E	41A15A6E	
DEC 63 : 8.704098	5.360503	20.169155	
HEX 64 : 41401FDE	40794A38	41AA86AD	
DEC 64 : 12.007780	3.895155	21.315760	
HEX 65 : 41150C00	3FD51E32	41C012BD	
DEC 65 : 9.315430	1.664984	24.009150	
HEX 66 : 414D2203	4091C255	41B82873	
DEC 66 : 12.820804	4.554972	23.019751	
HEX 67 : 410D6BBC	3FF9CDC4	41923E2A	
DEC 67 : 8.838802	1.951592	18.280354	
HEX 68 : 4175EB4B	4085A157	41A46C18	
DEC 68 : 15.369945	4.175945	20.552780	
HEX 69 : 41532FDF	408091DE	419BD9CA	
DEC 69 : 13.199187	4.017806	19.481342	
HEX 70 : 417BDEF7	40DCABF7	41BBE659	
DEC 70 : 15.741935	6.895992	23.487474	
HEX 71 : 4180237C	3AC3D252	41BA2C01	
DEC 71 : 16.017326	0.001494	23.271486	
HEX 72 : 418564EF	3FD1F962	41A355DF	
DEC 72 : 16.674284	1.640423	20.416929	
HEX 73 : 4181F955	3FC4FE37	41C730CD	
DEC 73 : 16.246744	1.539008	24.898829	
HEX 74 : 41755C97	4103B8D7	41AFA622	
DEC 74 : 15.335105	8.232627	21.956120	
HEX 75 : 411B7C84	3ABC7B46	41A5B558	
DEC 75 : 9.717899	0.001438	20.713547	
HEX 76 : 416B6D3E	3FDDA073	418E7E7C	
DEC 76 : 14.714170	1.731459	17.811760	
HEX 77 : 412BD5A8	3FD6A958	4196B4E2	
DEC 77 : 10.739662	1.677043	18.838322	
HEX 78 : 415D17A1	4043E33F	41A93E35	
DEC 78 : 13.818269	3.060745	21.155375	
HEX 79 : 414981AE	3AC111AE	41C2549A	
DEC 79 : 12.594160	0.001473	24.291309	
HEX 80 : 412AEAC4	40A2A1F5	41A21F36	
DEC 80 : 10.682316	5.082270	20.265240	
HEX 81 : 4186E31B	40DF0C20	41AD68FF	
DEC 81 : 16.860891	6.970230	21.676268	
HEX 82 : 41623892	3F2E5CB3	41B965A7	
DEC 82 : 14.138811	0.681102	23.174635	
HEX 83 : 417A96A5	4029B3A7	41AE837A	
DEC 83 : 15.661778	2.651590	21.814198	
HEX 84 : 414CDE95	4028C7B4	41BCB217	
DEC 84 : 12.804341	2.637189	23.586958	
HEX 85 : 41712725	40C26F9C	41AD3631	
DEC 85 : 15.072057	6.076124	21.651461	
HEX 86 : 41843323	40CE95B5	41CACB69	
DEC 86 : 16.524969	6.455775	25.349321	
HEX 87 : 415B3ACB	3FCF4891	41C87307	
DEC 87 : 13.701854	1.619402	25.056166	
HEX 88 : 412EF8A6	40AAC97B	4190E61B	
DEC 88 : 10.935705	5.337095	18.112356	
HEX 89 : 416574CC	40B4C0A9	419D63C0	
DEC 89 : 14.341015	5.648518	19.673706	
HEX 90 : 4145016A	3F9F2232	418D74EC	
DEC 90 : 12.312845	1.243231	17.682091	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
