Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 61 : 3BCA9AC3	3F115422	41A9164D	
DEC 61 : 0.006183	0.567690	21.135889	
HEX 62 : 4089E122	40DAC47A	41CA8A01	
DEC 62 : 4.308732	6.836484	25.317385	
HEX 63 : 3FE3E2C5	3D0A47ED	419B7180	
DEC 63 : 1.780358	0.033760	19.430420	
HEX 64 : 3FFB738E	3FDF1340	41C2B8D2	
DEC 64 : 1.964464	1.742775	24.340244	
HEX 65 : 40A2B7B3	3FC7B13A	41BA59AA	
DEC 65 : 5.084924	1.560096	23.293781	
HEX 66 : 40B59FF9	40642D0A	419868B4	
DEC 66 : 5.675778	3.565249	19.051125	
HEX 67 : 408F6BDF	40A2CE9C	41C140E8	
DEC 67 : 4.481918	5.087721	24.156693	
HEX 68 : 407B574B	3A8EDE55	41950A0D	
DEC 68 : 3.927203	0.001090	18.629908	
HEX 69 : 40B3AE6A	3ED47EF1	419E8C31	
DEC 69 : 5.615041	0.415031	19.818453	
HEX 70 : 3BA9C561	40747F24	41BCF77A	
DEC 70 : 0.005181	3.820260	23.620838	
HEX 71 : 40B8843C	403581F9	41C56662	
DEC 71 : 5.766142	2.836058	24.674992	
HEX 72 : 40385AC4	3FD73C68	41B481E9	
DEC 72 : 2.880540	1.681531	22.563433	
HEX 73 : 3FB1E4EF	40A7C99B	41BEE23D	
DEC 73 : 1.389799	5.243360	23.860468	
HEX 74 : 4037DC87	409EC170	41CAB37B	
DEC 74 : 2.872835	4.961113	25.337637	
HEX 75 : 3F80038A	40EBD163	41B8FF13	
DEC 75 : 1.000108	7.369310	23.124548	
HEX 76 : 41019E9F	3F1A38B9	41B21E07	
DEC 76 : 8.101226	0.602428	22.264662	
HEX 77 : 3BC74320	40F2F8B1	41AB3B76	
DEC 77 : 0.006081	7.592858	21.404034	
HEX 78 : 3FE469E0	405A44C8	418F1176	
DEC 78 : 1.784481	3.410448	17.883526	
