Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 62 : 41A162E8	3F40397A	4175B5D5	
DEC 62 : 20.173294	0.750877	15.356893	
HEX 63 : 419BF745	40860141	4152ED95	
DEC 63 : 19.495737	4.187653	13.183003	
HEX 64 : 41B5D4D1	3B9CF56F	416E18C9	
DEC 64 : 22.728914	0.004790	14.881051	
HEX 65 : 41BBFB81	40D7F1E3	4152312C	
DEC 65 : 23.497805	6.748277	13.137005	
HEX 66 : 4197977F	3ED87DB3	414BAF7C	
DEC 66 : 18.948973	0.422834	12.730343	
HEX 67 : 41C85A0E	3FF108DD	41664198	
DEC 67 : 25.043972	1.883083	14.391014	
HEX 68 : 41AFFEB7	40E3FA63	418739C6	
DEC 68 : 21.999372	7.124315	16.903210	
HEX 69 : 41AFB96D	40C8F929	4138D53C	
DEC 69 : 21.965540	6.280415	11.552059	
HEX 70 : 41ADB1D3	401D0B20	4149F4E5	
DEC 70 : 21.711828	2.453804	12.622289	
HEX 71 : 418BAE27	40270F7C	410C3B07	
DEC 71 : 17.460035	2.610320	8.764411	
HEX 72 : 419155BB	3FFAF030	4182783B	
DEC 72 : 18.166861	1.960455	16.308706	
HEX 73 : 418F61FA	3AC0F020	41664FFC	
DEC 73 : 17.922840	0.001472	14.394527	
HEX 74 : 41C2683C	4051EDF6	41424EB1	
DEC 74 : 24.300896	3.280149	12.144212	
HEX 75 : 41A09972	40236523	4181BFA5	
DEC 75 : 20.074924	2.553048	16.218576	
HEX 76 : 41997FCE	3AC0F020	412CA325	
DEC 76 : 19.187405	0.001472	10.789830	
HEX 77 : 418D81E4	3F388312	411644CE	
DEC 77 : 17.688423	0.720750	9.391798	
HEX 78 : 41BD6EC4	40849C2C	410B9CEF	
DEC 78 : 23.679085	4.144064	8.725814	
HEX 79 : 41A4CE17	3F9CAA76	41380B81	
DEC 79 : 20.600630	1.223952	11.502809	
HEX 80 : 41B35F7F	3F151F4F	412FB150	
DEC 80 : 22.421629	0.582509	10.980789	
HEX 81 : 41B769B1	40416220	4168786B	
DEC 81 : 22.926607	3.021614	14.529399	
HEX 82 : 41A799EF	40FFCB0A	414EA0C0	
DEC 82 : 20.950163	7.993535	12.914246	
HEX 83 : 418D8152	409259A9	4111238A	
DEC 83 : 17.688145	4.573445	9.071177	
HEX 84 : 419FF72D	40C00037	41476BF6	
DEC 84 : 19.995691	6.000026	12.463858	
HEX 85 : 41943D07	406B55EB	4171342D	
DEC 85 : 18.529799	3.677119	15.075238	
HEX 86 : 41B42919	3AC08B76	414E4596	
DEC 86 : 22.520067	0.001469	12.891989	
HEX 87 : 41ADADD0	404840AF	410BEAEF	
DEC 87 : 21.709869	3.128948	8.744857	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
