Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 62 : 411801EA	40B44F46	40E456B6	
DEC 62 : 9.500467	5.634677	7.135585	
HEX 63 : 41129507	4063D352	3DB0F5A1	
DEC 63 : 9.161384	3.559773	0.086406	
HEX 64 : 4185A238	40A87115	3F3E1AE7	
DEC 64 : 16.704208	5.263804	0.742598	
HEX 65 : 4163D5CD	3FF97CEE	3F31AE3E	
DEC 65 : 14.239697	1.949125	0.694065	
HEX 66 : 4153B21C	3FD93027	40E1886A	
DEC 66 : 13.230984	1.696782	7.047902	
HEX 67 : 410BEF77	40B5784B	40A1EF0F	
DEC 67 : 8.745963	5.670934	5.060432	
HEX 68 : 4146CB4A	409E23DB	40EF90C7	
DEC 68 : 12.424631	4.941877	7.486423	
HEX 69 : 41090E5A	4006ADB0	3FF2C294	
DEC 69 : 8.566004	2.104351	1.896563	
HEX 70 : 41193D33	403A1798	405F028E	
DEC 70 : 9.577441	2.907690	3.484531	
HEX 71 : 411FF94F	40A78F7E	4053FBD7	
DEC 71 : 9.998366	5.236266	3.312246	
HEX 72 : 41126384	3E011C6D	3F79477C	
DEC 72 : 9.149296	0.126085	0.973747	
HEX 73 : 4127C42E	3EF2480F	40D63281	
DEC 73 : 10.485395	0.473206	6.693665	
HEX 74 : 414A3633	3FEFB670	3FFBF7CF	
DEC 74 : 12.638232	1.872755	1.968500	
HEX 75 : 414FEAC2	40EB8DB5	40A5B11A	
DEC 75 : 12.994814	7.361048	5.177869	
HEX 76 : 4155B9AD	40CD8015	410748DB	
DEC 76 : 13.357831	6.421885	8.455287	
HEX 77 : 412C4B53	40C56B53	409F9AD2	
DEC 77 : 10.768390	6.169351	4.987649	
HEX 78 : 416940D8	3FAAF944	40AB306E	
DEC 78 : 14.578331	1.335732	5.349662	
HEX 79 : 4178E6CA	40722F01	3FB8EBBC	
DEC 79 : 15.556345	3.784119	1.444694	
HEX 80 : 413DA5C6	409B16B1	407CE3DE	
DEC 80 : 11.852972	4.846520	3.951408	
HEX 81 : 41455F9F	41078045	3A4BF2B2	
DEC 81 : 12.335845	8.468816	0.000778	
HEX 82 : 417DB6CB	40DEF2AA	41005EDE	
DEC 82 : 15.857127	6.967122	8.023161	
HEX 83 : 4180D1A4	3FD88E82	408357DC	
DEC 83 : 16.102364	1.691849	4.104475	
HEX 84 : 4183F76C	40BB2064	40922E2C	
DEC 84 : 16.495811	5.847704	4.568136	
HEX 85 : 417214E3	4094F1E3	406E63BF	
DEC 85 : 15.130099	4.654527	3.724838	
HEX 86 : 41187E0C	3C4A600B	4091368F	
DEC 86 : 9.530773	0.012352	4.537910	
HEX 87 : 410AF0CE	40FA022C	4087E1DF	
DEC 87 : 8.683790	7.812765	4.246322	
HEX 88 : 41664BAA	40AB3926	3F8055B0	
DEC 88 : 14.393473	5.350726	1.002615	
HEX 89 : 412ABAA8	3AC111AE	40393FCD	
DEC 89 : 10.670570	0.001473	2.894519	
HEX 90 : 415571C6	3AD3AE68	400339A4	
DEC 90 : 13.340277	0.001615	2.050393	
HEX 91 : 41583043	3FA0A2CB	406A204F	
DEC 91 : 13.511783	1.254968	3.658222	
HEX 92 : 41461811	40E7B7E5	3FCA1E15	
DEC 92 : 12.380876	7.241198	1.579043	
HEX 93 : 4169C29A	40AE11EA	40E7BFC6	
DEC 93 : 14.610010	5.439687	7.242160	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
