Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 62 : 18.175285	24.406870	12.799330	
HEX 63 : 41BAC0F1	41A0A800	414D09EB	
DEC 63 : 23.344210	20.082031	12.814921	
HEX 64 : 41AE1960	41C07F0D	4137CFF6	
DEC 64 : 21.762390	24.062037	11.488272	
HEX 65 : 4197D080	41A51DAC	417117E5	
DEC 65 : 18.976807	20.639488	15.068334	
HEX 66 : 4199BD1E	41CBE9B8	4164D37C	
DEC 66 : 19.217342	25.489120	14.301632	
HEX 67 : 41966A4F	41ADE2B5	411AE7E2	
DEC 67 : 18.801908	21.735697	9.681612	
HEX 68 : 41ADCCE8	41AB198A	413F460F	
DEC 68 : 21.725052	21.387470	11.954604	
HEX 69 : 41B9F429	419136A9	4144C471	
DEC 69 : 23.244219	18.151690	12.297959	
HEX 70 : 41A02DE4	41BD227D	414DB0D7	
DEC 70 : 20.022408	23.641840	12.855674	
HEX 71 : 41C58B48	41B3CA63	411F85E0	
DEC 71 : 24.693008	22.473822	9.970184	
HEX 72 : 41920F5D	41BB7204	412DFEC0	
DEC 72 : 18.257502	23.430672	10.874695	
HEX 73 : 419AF5FE	419F17EF	410DA482	
DEC 73 : 19.370113	19.886686	8.852663	
HEX 74 : 41C293E1	41BA37F6	413C3844	
DEC 74 : 24.322206	23.277325	11.763737	
HEX 75 : 41ABDED4	41B9B97C	4165D3A9	
DEC 75 : 21.483803	23.215569	14.364175	
HEX 76 : 41A334DE	41976A40	4152286D	
DEC 76 : 20.400814	18.926880	13.134870	
HEX 77 : 41A582DD	418951D7	4116B841	
DEC 77 : 20.688898	17.164961	9.419984	
HEX 78 : 41985C58	4195759D	416A96CC	
DEC 78 : 19.045090	18.682428	14.661816	
HEX 79 : 41AE3329	419B2E04	413C290E	
DEC 79 : 21.774981	19.397469	11.760023	
HEX 80 : 41A51853	418804FB	41478B2E	
DEC 80 : 20.636877	17.002432	12.471479	
HEX 81 : 419FC8D5	41C384C3	412ADB84	
DEC 81 : 19.973063	24.439825	10.678593	
HEX 82 : 41A0E537	41937B3D	413109D9	
DEC 82 : 20.111921	18.435175	11.064904	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
